Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
2,30,1,-0.0,0,41,0,1
11,24,1,0.2,0,223,0,2
14,24,1,-0.02,0,279,0,3
17,15,0,0.74,0,326,1,3
20,28,1,-0.02,0,401,1,4
21,21,1,-0.05,0,412,1,5
30,28,1,0.3,0,598,1,6
32,15,1,0.29,0,624,1,7
35,17,0,0.73,0,673,2,7
35,24,0,0.79,0,679,3,7
35,25,0,0.86,0,679,4,7
36,16,1,-0.07,0,690,4,8
49,27,0,0.94,0,959,5,8
49,28,0,0.82,0,959,6,8
49,29,0,1.03,0,959,7,8
49,30,0,0.88,0,959,8,8
70,12,1,-0.11,0,1381,8,9
73,25,1,0.25,0,1438,8,10
102,21,0,0.78,0,2037,9,10
102,23,0,0.77,0,2038,10,10
102,26,0,0.86,0,2040,11,10
102,27,0,0.89,0,2040,12,10
109,30,1,0.25,0,2189,12,11
110,13,1,0.1,0,2192,12,12
113,17,1,0.21,0,2241,12,13
116,26,0,0.8,0,2299,13,13
121,22,0,0.84,0,2399,14,13
123,25,0,0.73,0,2443,15,13
128,16,1,0.53,0,2538,15,14
131,12,1,0.13,0,2582,15,15
140,30,1,-0.15,0,2770,15,16
152,28,0,0.82,0,3019,16,16
152,29,0,0.91,0,3019,17,16
152,30,0,1.05,0,3019,18,16
164,27,1,-0.0,0,3267,18,17
167,28,0,0.78,0,3327,19,17
167,29,0,0.86,0,3327,20,17
167,30,0,0.93,0,3327,21,17
171,15,1,0.68,0,3395,21,18
175,28,1,-0.01,0,3476,21,19
179,30,1,0.14,0,3559,21,20
184,16,1,0.12,0,3649,21,21
189,24,1,-0.04,0,3747,21,22
194,12,1,0.5,0,3833,21,23
197,19,1,-0.22,0,3884,21,24
199,13,1,0.25,0,3908,21,25
203,28,1,0.06,0,3989,21,26
218,23,1,0.15,0,4296,21,27
219,13,1,-0.07,0,4299,21,28
224,13,1,-0.03,0,4386,21,29
229,12,1,0.16,0,4472,21,30
237,23,1,-0.06,0,4632,21,31
239,12,1,0.07,0,4655,21,32
241,12,1,0.23,0,4678,21,33
247,19,1,0.35,0,4792,21,34
248,18,1,-0.06,0,4800,21,35
249,12,1,0.21,0,4802,21,36
250,14,1,0.14,0,4806,21,37
251,17,1,0.08,0,4813,21,38
253,12,1,-0.03,0,4836,21,39
262,14,1,0.03,0,5008,21,40
264,19,1,0.12,0,5038,21,41
265,23,0,0.74,0,5051,22,41
266,26,1,-0.05,0,5074,22,42
268,30,0,0.72,0,5115,23,42
269,18,1,0.07,0,5123,23,43
276,18,1,0.18,0,5257,23,44
279,20,0,0.74,0,5309,24,44
281,12,1,0.08,0,5342,24,45
283,12,1,0.08,0,5365,24,46
284,17,0,0.71,0,5372,25,46
286,29,1,0.28,0,5425,25,47
290,15,1,0.09,0,5493,25,48
298,17,1,-0.09,0,5647,25,49
302,20,1,-0.24,0,5720,25,50
307,29,1,0.11,0,5823,25,51
313,18,1,0.19,0,5936,25,52
316,27,1,0.21,0,5995,25,53
322,13,1,0.29,0,6103,25,54
325,18,0,0.79,0,6153,26,54
332,16,1,-0.06,0,6297,26,55
334,28,0,0.74,0,6336,27,55
334,29,0,0.88,0,6336,28,55
338,23,1,-0.11,0,6413,28,56
341,29,0,0.96,0,6474,29,56
341,30,0,1.01,0,6474,30,56
342,12,1,0.2,0,6476,30,57
343,30,1,0.05,0,6496,30,58
344,16,1,0.06,0,6502,30,59
353,12,1,0.07,0,6672,30,60
367,24,1,-0.15,0,6959,30,61
369,15,0,0.86,0,6985,31,61
375,12,1,-0.15,0,7107,31,62
378,24,1,0.08,0,7163,31,63
383,14,1,0.03,0,7251,31,64
392,12,1,0.21,0,7421,31,65
395,13,1,0.41,0,7466,31,66
403,13,1,-0.04,0,7616,31,67
404,12,1,0.2,0,7618,31,68
