Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
3,27,0,0.9,0,59,1,0
4,14,0,0.83,0,66,2,0
4,27,0,0.88,0,78,3,0
8,16,0,0.72,0,150,4,0
9,16,0,0.72,0,170,5,0
9,17,0,0.74,0,170,6,0
9,18,0,0.82,0,170,7,0
14,29,0,0.86,0,285,8,0
14,30,0,0.72,0,285,9,0
32,12,0,0.71,0,644,10,0
37,23,0,0.74,0,759,11,0
37,24,0,0.8,0,759,12,0
38,22,0,0.82,0,777,13,0
38,24,0,0.89,0,778,14,0
40,10,0,0.91,0,805,15,0
41,23,0,0.71,0,838,16,0
41,24,1,0.29,0,838,16,1
42,17,0,0.73,0,845,17,1
42,25,0,0.82,0,852,18,1
42,27,0,0.71,0,853,19,1
42,29,0,0.96,0,854,20,1
43,21,1,0.49,0,866,20,2
46,29,0,0.97,0,927,21,2
46,30,0,0.85,0,927,22,2
47,29,0,0.72,0,946,23,2
48,29,0,0.83,0,966,24,2
49,27,0,0.72,0,984,25,2
49,29,0,0.74,0,985,26,2
58,30,0,0.9,0,1174,27,2
73,12,0,0.85,0,1470,28,2
73,13,0,0.75,0,1470,29,2
74,28,0,0.74,0,1505,30,2
74,29,0,0.84,0,1505,31,2
74,30,0,0.93,0,1505,32,2
83,23,0,1.01,1,1667,33,2
92,17,0,1.13,1,1849,34,2
92,18,0,0.89,1,1849,35,2
92,19,0,0.89,1,1849,36,2
117,18,0,0.82,1,2372,37,2
117,19,0,0.89,1,2372,38,2
117,23,0,0.76,1,2375,39,2
117,24,0,0.71,1,2375,40,2
117,29,0,0.77,1,2379,41,2
118,26,0,0.72,1,2396,42,2
121,29,0,0.82,1,2461,43,2
127,10,0,0.73,1,2567,44,2
127,27,0,0.76,1,2583,45,2
127,28,0,0.75,1,2583,46,2
128,28,1,0.31,1,2603,46,3
130,22,0,0.76,2,2617,47,3
132,28,0,0.76,2,2664,48,3
132,30,0,0.71,2,2665,49,3
133,16,0,0.82,2,2671,50,3
133,25,0,0.76,2,2679,51,3
135,18,0,0.86,2,2713,52,3
135,19,1,0.6,2,2713,52,4
160,10,0,0.85,2,3217,53,4
161,28,0,0.88,2,3255,54,4
164,13,1,0.56,2,3302,54,5
165,11,0,1.03,2,3303,55,5
165,12,0,0.85,2,3303,56,5
165,24,0,0.9,2,3314,57,5
195,19,0,0.72,2,3938,58,5
195,20,0,0.95,2,3938,59,5
195,21,0,0.94,2,3938,60,5
198,23,0,0.77,2,4002,61,5
198,24,0,0.84,2,4002,62,5
215,28,0,0.75,2,4362,63,5
215,29,0,0.77,2,4362,64,5
215,30,0,0.92,2,4362,65,5
216,12,0,0.81,2,4364,66,5
219,28,0,0.72,2,4442,67,5
229,15,0,0.84,2,4638,68,5
229,16,0,0.87,2,4638,69,5
229,17,0,0.83,2,4638,70,5
231,29,0,0.81,2,4691,71,5
231,30,0,0.85,2,4691,72,5
232,22,0,0.83,2,4703,73,5
232,24,0,0.84,2,4704,74,5
232,27,0,0.7,2,4706,75,5
232,28,0,0.92,2,4706,76,5
232,29,0,0.73,2,4706,77,5
232,30,0,0.88,2,4706,78,5
238,29,0,0.74,2,4830,79,5
239,10,0,1.02,2,4831,80,5
239,18,1,0.65,2,4838,80,6
245,16,0,0.98,2,4949,81,6
245,18,0,0.77,2,4950,82,6
245,21,0,0.89,2,4952,83,6
245,22,0,0.87,2,4952,84,6
245,26,0,0.76,2,4955,85,6
246,15,0,0.72,2,4964,86,6
246,18,0,0.7,2,4966,87,6
246,20,0,0.92,2,4967,88,6
246,22,0,0.96,2,4968,89,6
262,18,1,0.44,2,5299,89,7
273,21,0,0.9,2,5520,90,7
273,29,0,0.88,2,5527,91,7
283,12,0,0.79,2,5719,92,7
283,13,0,0.82,2,5719,93,7
288,24,0,0.77,2,5834,94,7
288,25,0,0.88,2,5834,95,7
288,26,0,0.74,2,5834,96,7
299,23,0,0.92,2,6061,97,7
299,24,0,0.99,2,6061,98,7
299,25,0,0.75,2,6061,99,7
300,17,0,0.82,2,6073,100,7
304,26,0,0.77,2,6165,101,7
310,10,0,0.75,3,6259,102,7
311,11,0,0.73,4,6269,103,7
311,13,0,0.76,4,6270,104,7
311,18,0,0.7,4,6274,105,7
311,19,0,0.74,4,6274,106,7
321,14,0,0.81,4,6478,107,7
321,15,0,0.93,4,6478,108,7
321,22,0,0.92,4,6484,109,7
321,23,0,0.72,4,6484,110,7
325,21,1,0.42,4,6565,110,8
326,11,0,0.88,4,6566,111,8
326,12,1,0.63,4,6566,111,9
327,18,0,0.95,4,6574,112,9
327,19,0,0.83,4,6574,113,9
335,30,0,0.91,4,6752,114,9
340,23,0,0.8,4,6849,115,9
340,24,0,0.87,4,6849,116,9
340,25,0,0.84,4,6849,117,9
