Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
12,30,0,0.92,0,251,1,0
13,15,0,0.85,0,256,2,0
13,16,0,0.73,0,256,3,0
13,21,0,0.79,0,260,4,0
13,26,0,0.85,0,264,5,0
13,27,0,0.86,0,264,6,0
13,30,0,0.93,0,266,7,0
15,29,0,0.72,0,306,8,0
16,25,0,0.75,0,322,9,0
16,27,0,0.83,0,323,10,0
16,28,0,0.77,0,323,11,0
16,30,0,0.91,0,324,12,0
18,28,0,0.81,0,363,13,0
18,29,0,0.94,0,363,14,0
18,30,0,0.93,0,363,15,0
19,28,0,0.72,0,381,16,0
19,29,0,0.78,0,381,17,0
20,27,0,0.84,0,399,18,0
25,23,0,0.7,0,499,19,0
28,22,0,0.77,0,560,20,0
28,23,0,0.8,0,560,21,0
28,29,0,0.75,0,565,22,0
31,27,0,0.83,0,625,23,0
33,20,0,0.73,0,659,24,0
33,24,0,0.86,0,662,25,0
37,17,0,0.8,0,738,26,0
37,20,0,0.72,0,740,27,0
37,28,0,0.87,0,747,28,0
38,18,1,0.32,0,757,28,1
39,11,0,0.81,0,758,29,1
39,12,0,0.71,0,758,30,1
39,17,1,0.07,0,762,30,2
42,13,1,0.27,1,794,30,3
43,13,1,0.57,1,797,30,4
44,21,1,0.43,1,808,30,5
46,12,1,0.67,1,831,30,6
47,20,1,-0.01,1,841,30,7
50,11,0,0.84,3,853,31,7
50,13,0,0.71,3,854,32,7
51,17,1,0.6,3,878,32,8
52,12,1,0.25,3,880,32,9
53,12,1,0.55,3,882,32,10
54,10,0,0.71,3,882,33,10
55,12,1,0.45,4,892,33,11
56,12,1,0.68,4,894,33,12
57,13,1,0.54,4,897,33,13
58,16,1,0.3,4,903,33,14
59,14,0,0.92,4,907,34,14
62,23,1,0.28,6,955,34,15
63,20,1,0.22,6,965,34,16
64,15,1,0.32,6,970,34,17
66,21,1,0.42,7,983,34,18
67,10,0,0.75,7,983,35,18
68,10,0,0.71,7,1003,36,18
68,17,1,0.54,7,1009,36,19
70,13,0,0.7,8,1022,37,19
72,17,1,0.66,9,1060,37,20
73,15,1,0.4,9,1065,37,21
74,10,0,0.81,9,1065,38,21
74,12,1,-0.17,9,1066,38,22
75,11,0,0.83,9,1067,39,22
75,14,1,0.63,9,1069,39,23
76,19,1,0.56,9,1078,39,24
78,13,1,0.5,10,1083,39,25
79,13,1,0.5,10,1086,39,26
81,11,0,0.72,11,1089,40,26
83,10,0,0.88,12,1120,41,26
83,13,1,0.34,12,1122,41,27
84,12,0,0.89,12,1124,42,27
84,13,0,0.77,12,1124,43,27
84,14,0,1.06,12,1124,44,27
84,22,1,0.65,12,1131,44,28
85,11,0,0.76,12,1132,45,28
85,19,1,0.43,12,1139,45,29
86,27,1,0.54,12,1156,45,30
87,23,1,0.26,12,1169,45,31
88,12,1,0.48,12,1171,45,32
89,12,1,0.56,12,1173,45,33
90,16,1,0.59,12,1179,45,34
91,22,0,0.8,12,1191,46,34
93,19,1,0.63,13,1214,46,35
94,23,1,0.69,13,1227,46,36
95,12,0,0.8,13,1229,47,36
97,22,1,0.63,13,1280,47,37
98,10,0,0.99,13,1280,48,37
98,19,1,0.47,13,1288,48,38
99,12,1,0.63,13,1290,48,39
100,12,1,0.5,13,1292,48,40
101,12,1,0.33,13,1294,48,41
103,11,0,0.88,14,1298,49,41
