ButtonData,GRUOutput,AttemptNum,Episode,Timestep
0,0.43,4,1,13
0,0.55,6,1,15
0,0.72,61,3,28
0,0.45,66,4,12
0,0.31,79,4,25
0,0.44,86,5,11
0,0.39,97,5,22
0,0.47,98,5,23
0,0.49,105,5,30
0,0.4,121,6,25
0,0.54,124,6,28
0,0.48,159,8,21
0,0.5,177,9,18
0,0.6,202,10,22
0,0.47,205,10,25
0,0.47,235,12,13
0,0.38,238,12,16
0,0.87,239,12,17
0,0.37,252,12,30
0,0.62,282,14,18
0,0.44,283,14,19
0,0.39,284,14,20
0,0.81,285,14,21
0,0.52,288,14,24
0,0.35,292,14,28
0,0.32,305,15,20
0,0.84,392,19,23
0,0.47,394,19,25
0,0.71,396,19,27
0,0.75,398,19,29
0,0.42,401,20,11
0,0.38,403,20,13
0,0.32,405,20,15
0,0.56,407,20,17
0,0.93,408,20,18
0,0.53,415,20,25
0,1.02,441,21,30
0,0.47,471,23,18
0,0.81,475,23,22
0,0.99,476,23,23
0,0.4,477,23,24
0,0.49,478,23,25
0,0.33,495,24,21
0,0.65,496,24,22
0,0.3,501,24,27
0,0.76,509,25,14
0,0.68,511,25,16
0,0.42,512,25,17
0,0.5,515,25,20
0,0.56,516,25,21
0,0.67,518,25,23
0,0.97,520,25,25
0,0.73,521,25,26
0,0.9,525,25,30
0,0.33,531,26,15
0,0.32,535,26,19
0,0.8,555,27,18
0,0.35,560,27,23
0,1.02,581,28,23
0,0.7,582,28,24
0,0.6,585,28,27
0,0.5,594,29,15
0,0.38,612,30,12
0,0.51,638,31,17
0,1.04,652,32,10
0,0.84,653,32,11
0,0.39,654,32,12
0,0.58,659,32,17
0,0.43,660,32,18
0,0.49,662,32,20
0,0.62,663,32,21
0,0.48,664,32,22
0,0.43,665,32,23
0,0.42,671,32,29
0,0.55,672,32,30
0,0.64,680,33,17
0,0.32,683,33,20
0,0.39,689,33,26
0,0.31,690,33,27
0,0.62,720,35,15
0,0.32,723,35,18
0,1.01,724,35,19
0,0.48,836,40,26
0,0.32,837,40,27
0,0.32,851,41,20
0,0.54,858,41,27
0,0.66,893,43,20
0,0.96,894,43,21
0,0.51,907,44,13
0,0.53,910,44,16
0,0.95,926,45,11
0,0.31,927,45,12
0,0.64,932,45,17
0,0.61,936,45,21
0,0.39,944,45,29
0,0.31,981,47,24
0,0.39,1019,49,20
0,0.34,1023,49,24
0,0.56,1024,49,25
0,0.32,1026,49,27
0,0.32,1045,50,25
0,0.38,1065,51,24
