Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
4,16,0,0.75,0,69,1,0
4,19,0,0.8,0,71,2,0
6,13,0,0.77,0,106,3,0
8,21,0,0.86,0,155,4,0
8,22,0,0.83,0,155,5,0
8,29,0,0.8,0,161,6,0
8,30,0,0.81,0,161,7,0
12,28,0,0.72,0,242,8,0
13,30,0,0.81,0,264,9,0
14,19,0,0.75,0,273,10,0
14,21,0,0.83,0,274,11,0
14,25,0,0.73,0,277,12,0
15,21,0,0.72,0,293,13,0
16,11,0,0.85,0,303,14,0
16,15,0,0.71,0,306,15,0
18,25,1,0.07,0,357,15,1
20,15,0,0.71,1,377,16,1
20,16,0,0.76,1,377,17,1
21,28,0,0.89,1,409,18,1
22,18,0,0.72,1,419,19,1
22,19,0,0.84,1,419,20,1
22,22,0,0.78,1,421,21,1
23,15,0,0.9,1,434,22,1
23,25,0,0.91,1,443,23,1
23,26,0,0.81,1,443,24,1
24,18,0,0.81,1,455,25,1
25,18,0,0.82,1,475,26,1
25,30,0,0.92,1,486,27,1
26,11,0,0.82,1,487,28,1
26,13,0,0.8,1,488,29,1
26,14,0,0.81,1,488,30,1
29,22,1,0.47,2,556,30,2
30,12,0,0.76,2,558,31,2
31,15,0,0.77,2,581,32,2
31,16,0,0.77,2,581,33,2
31,27,0,0.86,2,591,34,2
32,13,0,0.78,2,597,35,2
32,26,1,0.63,2,609,35,3
33,23,0,0.73,2,622,36,3
33,24,1,0.61,2,622,36,4
34,12,0,0.76,2,624,37,4
34,16,0,0.73,2,627,38,4
34,25,1,0.49,2,635,38,5
35,12,0,0.72,2,637,39,5
35,16,0,0.81,2,640,40,5
35,23,0,0.72,2,646,41,5
38,13,1,0.52,3,696,41,6
39,20,1,0.12,3,706,41,7
40,12,1,0.47,3,708,41,8
41,11,0,0.76,3,709,42,8
41,12,1,0.12,3,709,42,9
42,13,0,0.81,3,712,43,9
43,25,1,0.5,3,744,43,10
46,24,1,0.62,3,800,43,11
47,15,0,0.78,3,805,44,11
47,16,0,0.84,3,805,45,11
48,10,0,0.71,3,819,46,11
48,17,0,0.76,3,825,47,11
48,18,0,0.78,3,825,48,11
48,19,0,0.87,3,825,49,11
48,26,1,0.39,3,831,49,12
50,10,0,0.96,4,841,50,12
50,11,0,0.84,4,841,51,12
50,18,0,0.79,4,847,52,12
51,11,0,0.77,4,860,53,12
51,23,1,0.13,4,871,53,13
52,10,0,0.75,4,871,54,13
55,25,0,0.89,4,948,55,13
56,10,0,1.04,4,953,56,13
56,14,0,0.96,4,956,57,13
58,14,1,0.48,4,997,57,14
60,10,0,0.76,5,1012,58,14
61,11,1,0.11,5,1033,58,15
62,12,1,0.64,5,1035,58,16
63,14,0,0.84,5,1039,59,16
63,18,1,0.68,5,1042,59,17
64,11,1,0.21,5,1043,59,18
65,23,1,0.62,5,1056,59,19
66,24,1,0.51,5,1070,59,20
68,11,0,0.84,6,1078,60,20
68,22,1,0.46,6,1088,60,21
71,12,1,0.34,7,1120,60,22
72,14,0,0.87,7,1124,61,22
75,22,1,0.58,8,1175,61,23
76,16,1,0.64,8,1181,61,24
77,11,1,0.28,8,1182,61,25
78,30,1,0.18,8,1202,61,26
79,25,1,0.21,8,1217,61,27
81,14,1,0.55,8,1242,61,28
85,29,1,0.68,8,1324,61,29
86,17,1,0.34,8,1331,61,30
87,10,0,0.82,8,1331,62,30
87,11,1,0.5,8,1331,62,31
88,11,1,0.63,8,1332,62,32
89,16,1,0.37,8,1338,62,33
91,18,1,0.45,8,1367,62,34
92,11,1,0.29,8,1368,62,35
93,11,1,0.19,8,1369,62,36
94,18,1,0.42,8,1377,62,37
95,11,1,0.63,8,1378,62,38
96,13,1,0.48,8,1381,62,39
99,12,0,0.71,10,1406,63,39
99,28,0,0.78,10,1421,64,39
99,29,0,0.7,10,1421,65,39
100,12,1,-0.02,10,1424,65,40
101,15,1,0.45,10,1429,65,41
103,15,1,0.44,11,1444,65,42
104,25,1,0.05,11,1459,65,43
106,11,1,0.51,11,1481,65,44
107,27,1,0.51,11,1498,65,45
108,28,1,0.28,11,1516,65,46
109,12,1,0.53,11,1518,65,47
110,10,0,0.81,11,1518,66,47
110,25,0,0.74,11,1532,67,47
110,28,0,0.84,11,1534,68,47
110,30,1,0.54,11,1535,68,48
111,10,0,0.86,11,1535,69,48
112,10,0,0.94,11,1555,70,48
112,14,0,0.88,11,1558,71,48
112,16,0,1.05,11,1559,72,48
112,17,0,0.99,11,1559,73,48
112,19,0,0.78,11,1560,74,48
112,22,0,0.76,11,1562,75,48
112,23,0,0.83,11,1562,76,48
112,24,0,0.89,11,1562,77,48
112,29,0,0.75,11,1566,78,48
112,30,0,0.72,11,1566,79,48
113,12,1,0.58,11,1568,79,49
114,11,1,0.52,11,1569,79,50
115,15,1,0.52,11,1574,79,51
116,25,1,0.33,11,1589,79,52
120,10,0,0.99,12,1636,80,52
120,11,0,0.91,12,1636,81,52
120,14,0,0.71,12,1638,82,52
120,18,0,1.01,12,1641,83,52
121,14,1,0.52,12,1657,83,53
122,19,1,0.34,12,1666,83,54
123,11,1,0.17,12,1667,83,55
124,23,1,0.45,12,1680,83,56
125,19,0,0.74,12,1689,84,56
126,14,0,0.74,12,1704,85,56
126,17,1,0.33,12,1706,85,57
128,10,0,0.72,12,1727,86,57
128,15,0,0.79,12,1731,87,57
129,30,1,0.41,12,1766,87,58
130,11,1,0.32,12,1767,87,59
131,10,0,0.99,12,1767,88,59
131,15,0,0.8,12,1771,89,59
131,21,0,0.71,12,1776,90,59
134,19,1,0.4,12,1836,90,60
136,13,1,0.54,12,1860,90,61
138,15,0,0.74,12,1886,91,61
139,17,1,0.45,12,1908,91,62
140,17,0,0.71,12,1915,92,62
140,18,0,0.8,12,1915,93,62
140,21,1,0.53,12,1917,93,63
141,18,1,0.57,12,1925,93,64
145,12,1,0.66,13,1975,93,65
146,14,0,0.82,13,1979,94,65
146,15,0,0.86,13,1979,95,65
152,28,1,0.53,15,2105,95,66
153,19,1,0.65,15,2114,95,67
154,15,1,0.4,15,2119,95,68
155,17,1,0.55,15,2126,95,69
156,13,0,0.87,15,2129,96,69
156,19,0,0.73,15,2134,97,69
156,20,0,0.86,15,2134,98,69
157,16,1,0.58,15,2150,98,70
158,12,0,0.75,15,2152,99,70
158,20,0,0.75,15,2159,100,70
158,23,1,0.41,15,2161,100,71
160,11,1,0.28,15,2183,100,72
161,13,1,0.6,15,2186,100,73
162,10,0,0.75,15,2186,101,73
162,12,1,0.54,15,2187,101,74
163,12,1,0.38,15,2189,101,75
164,21,1,0.61,15,2200,101,76
165,11,1,0.52,15,2201,101,77
166,11,1,0.31,15,2202,101,78
167,11,1,0.63,15,2203,101,79
168,25,1,0.51,15,2218,101,80
169,20,1,0.55,15,2228,101,81
173,15,0,0.83,17,2279,102,81
173,16,0,0.75,17,2279,103,81
173,17,0,1.05,17,2279,104,81
175,11,0,0.72,17,2314,105,81
175,29,0,0.75,17,2331,106,81
177,12,1,0.59,17,2355,106,82
180,16,1,-0.01,18,2385,106,83
