Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
4,28,0,0.74,0,81,1,0
5,21,0,0.72,0,94,2,0
5,23,0,0.73,0,95,3,0
5,24,0,0.7,0,95,4,0
5,25,0,0.92,0,95,5,0
5,26,0,0.77,0,95,6,0
7,16,0,0.71,0,126,7,0
10,18,0,0.71,0,190,8,0
15,19,0,0.81,0,295,9,0
18,25,0,0.71,0,363,10,0
19,19,0,0.88,0,377,11,0
19,20,0,0.7,0,377,12,0
21,28,0,0.79,0,426,13,0
29,29,0,0.81,0,594,14,0
30,26,0,0.71,0,611,15,0
31,16,0,0.72,0,621,16,0
31,17,0,0.83,0,621,17,0
31,18,0,0.72,0,621,18,0
33,30,0,0.81,0,674,19,0
34,22,0,0.78,0,686,20,0
37,17,0,0.95,0,743,21,0
37,18,0,0.7,0,743,22,0
37,21,0,0.87,0,745,23,0
37,22,0,0.81,0,745,24,0
37,23,0,0.92,0,745,25,0
37,24,0,1.14,0,745,26,0
37,25,0,0.83,0,745,27,0
37,30,0,0.73,0,749,28,0
38,13,0,0.79,0,752,29,0
39,17,0,1.0,0,776,30,0
39,18,0,0.74,0,776,31,0
41,24,0,0.74,0,823,32,0
41,25,0,0.74,0,823,33,0
41,26,0,0.72,0,823,34,0
41,27,0,0.78,0,823,35,0
42,23,0,0.75,0,839,36,0
42,24,0,0.99,0,839,37,0
42,25,0,1.02,0,839,38,0
42,26,0,0.98,0,839,39,0
42,27,0,1.05,0,839,40,0
42,28,0,0.97,0,839,41,0
42,29,0,0.87,0,839,42,0
46,12,0,0.74,0,905,43,0
46,19,0,0.8,0,911,44,0
46,28,0,0.86,0,919,45,0
46,29,0,0.77,0,919,46,0
48,16,0,0.74,0,947,47,0
49,17,0,0.85,0,968,48,0
49,18,0,0.75,0,968,49,0
50,10,0,0.77,0,980,50,0
51,18,0,0.9,0,1008,51,0
51,19,0,0.95,0,1008,52,0
51,20,0,0.8,0,1008,53,0
51,22,0,0.71,0,1009,54,0
51,24,0,0.73,0,1010,55,0
51,25,0,0.84,0,1010,56,0
51,26,0,0.72,0,1010,57,0
51,27,0,0.75,0,1010,58,0
51,28,0,0.77,0,1010,59,0
55,12,0,0.75,1,1063,60,0
55,16,0,0.9,1,1066,61,0
55,17,0,0.74,1,1066,62,0
56,10,0,0.73,1,1079,63,0
56,11,0,0.89,1,1079,64,0
56,12,0,0.82,1,1079,65,0
56,13,0,0.71,1,1079,66,0
59,30,0,0.7,1,1158,67,0
65,10,0,0.73,1,1263,68,0
65,11,0,0.71,1,1263,69,0
68,27,0,0.96,1,1341,70,0
