Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
1,24,0,0.97,0,14,1,0
11,19,0,0.71,0,218,2,0
15,25,0,0.72,0,307,3,0
15,30,0,0.71,0,311,4,0
39,23,0,0.73,0,807,5,0
51,10,0,0.87,0,1045,6,0
51,11,0,0.77,0,1045,7,0
51,14,0,0.85,0,1047,8,0
51,15,0,0.7,0,1047,9,0
51,16,0,0.84,0,1047,10,0
51,17,0,0.77,0,1047,11,0
52,27,0,0.71,0,1077,12,0
53,10,0,0.8,0,1080,13,0
53,11,0,1.0,0,1080,14,0
54,16,0,0.8,1,1087,15,0
54,17,0,0.78,1,1087,16,0
55,22,0,0.88,1,1112,17,0
55,23,0,0.97,1,1112,18,0
55,24,0,1.06,1,1112,19,0
55,25,0,0.95,1,1112,20,0
55,26,0,0.88,1,1112,21,0
55,27,0,1.07,1,1112,22,0
55,28,0,1.04,1,1112,23,0
55,29,0,1.0,1,1112,24,0
55,30,0,0.78,1,1112,25,0
56,19,0,0.8,1,1121,26,0
57,29,0,0.83,2,1140,27,0
57,30,0,1.02,2,1140,28,0
58,17,0,0.72,2,1147,29,0
59,24,0,0.71,3,1161,30,0
61,17,1,0.16,4,1179,30,1
62,17,0,0.88,4,1186,31,1
63,18,0,0.84,5,1195,32,1
63,19,0,1.02,5,1195,33,1
63,28,0,0.74,5,1203,34,1
64,17,0,0.79,5,1212,35,1
64,18,0,1.02,5,1212,36,1
64,19,0,1.12,5,1212,37,1
64,20,0,1.15,5,1212,38,1
64,21,0,0.75,5,1212,39,1
64,22,0,0.88,5,1212,40,1
64,23,0,0.89,5,1212,41,1
64,24,0,0.75,5,1212,42,1
64,25,0,0.87,5,1212,43,1
64,26,0,0.88,5,1212,44,1
66,24,0,0.74,6,1237,45,1
66,26,0,0.81,6,1238,46,1
66,27,0,1.03,6,1238,47,1
66,28,0,0.93,6,1238,48,1
67,19,0,0.72,6,1249,49,1
