Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
23,19,0,0.72,0,471,1,0
23,29,0,0.77,0,480,2,0
30,14,0,0.73,0,611,3,0
33,19,0,0.7,0,678,4,0
45,12,0,0.71,0,922,5,0
51,22,1,0.59,0,1057,5,1
62,30,0,0.73,0,1287,6,1
63,20,0,0.8,0,1297,7,1
66,11,1,0.35,0,1350,7,2
73,17,0,0.74,0,1483,8,2
73,18,0,0.71,0,1483,9,2
74,19,0,0.8,0,1504,10,2
76,14,0,0.7,0,1540,11,2
77,14,0,0.73,0,1560,12,2
78,17,0,0.72,0,1583,13,2
82,18,0,0.72,0,1667,14,2
84,10,0,0.78,0,1700,15,2
85,13,0,0.74,0,1723,16,2
85,14,0,0.71,0,1723,17,2
87,12,0,0.71,0,1762,18,2
87,18,0,0.96,0,1767,19,2
87,19,0,0.76,0,1767,20,2
87,23,0,0.73,0,1770,21,2
87,24,0,0.93,0,1770,22,2
87,25,0,0.96,0,1770,23,2
87,26,0,0.97,0,1770,24,2
87,27,0,1.01,0,1770,25,2
87,28,0,0.89,0,1770,26,2
87,29,0,0.96,0,1770,27,2
87,30,0,0.82,0,1770,28,2
91,21,1,0.2,0,1844,28,3
94,27,1,0.28,0,1903,28,4
96,21,0,0.77,0,1935,29,4
98,14,0,0.85,0,1969,30,4
98,15,0,0.98,0,1969,31,4
98,16,0,0.76,0,1969,32,4
100,30,1,0.17,0,2024,32,5
101,19,0,0.79,0,2033,33,5
101,20,0,0.74,0,2033,34,5
102,21,0,0.7,0,2054,35,5
105,25,0,0.76,0,2120,36,5
106,24,0,0.79,0,2139,37,5
107,11,0,0.76,0,2146,38,5
107,12,0,0.76,0,2146,39,5
107,18,0,0.8,0,2151,40,5
107,19,0,0.74,0,2151,41,5
109,19,0,0.73,0,2192,42,5
109,25,0,0.71,0,2197,43,5
109,26,0,0.79,0,2197,44,5
109,27,0,0.86,0,2197,45,5
109,28,0,0.84,0,2197,46,5
109,30,0,0.7,0,2198,47,5
110,18,0,0.82,0,2206,48,5
110,19,0,0.77,0,2206,49,5
111,11,0,0.71,0,2218,50,5
113,19,0,0.71,0,2267,51,5
113,20,0,0.73,0,2267,52,5
113,21,0,0.88,0,2267,53,5
113,22,0,0.96,0,2267,54,5
116,27,0,0.76,0,2334,55,5
118,12,0,0.73,0,2360,56,5
119,29,0,0.71,0,2397,57,5
123,10,0,0.72,0,2461,58,5
123,12,0,0.74,0,2462,59,5
123,13,0,0.78,0,2462,60,5
126,14,0,0.75,0,2525,61,5
126,15,0,0.78,0,2525,62,5
132,20,0,1.09,0,2655,63,5
132,21,0,1.03,0,2655,64,5
132,22,0,1.09,0,2655,65,5
132,23,0,0.99,0,2655,66,5
134,24,0,0.79,0,2697,67,5
134,25,0,0.74,0,2697,68,5
136,14,0,0.7,0,2727,69,5
136,20,0,0.77,0,2732,70,5
136,21,0,0.93,0,2732,71,5
136,22,0,1.15,0,2732,72,5
136,23,0,1.08,0,2732,73,5
138,27,0,0.81,0,2777,74,5
138,29,0,0.98,0,2778,75,5
138,30,0,0.7,0,2778,76,5
139,12,0,0.76,0,2780,77,5
140,29,0,0.76,0,2817,78,5
143,27,0,0.75,0,2877,79,5
143,28,0,0.74,0,2877,80,5
144,10,0,0.71,0,2879,81,5
147,10,0,0.8,0,2941,82,5
147,18,0,0.71,0,2948,83,5
147,23,0,0.71,0,2952,84,5
150,23,0,0.77,0,3014,85,5
151,18,0,0.74,0,3029,86,5
151,19,0,0.71,0,3029,87,5
152,22,0,0.77,0,3052,88,5
154,27,0,0.9,0,3098,89,5
154,28,0,0.71,0,3098,90,5
156,21,0,0.8,0,3132,91,5
156,22,0,0.92,0,3132,92,5
156,23,0,0.85,0,3132,93,5
156,24,0,1.03,0,3132,94,5
156,25,0,0.96,0,3132,95,5
156,26,0,0.83,0,3132,96,5
158,11,1,0.54,0,3158,96,6
159,13,0,0.88,0,3161,97,6
159,14,0,0.77,0,3161,98,6
160,14,0,0.71,0,3181,99,6
162,19,0,0.79,0,3227,100,6
162,20,0,0.86,0,3227,101,6
162,21,0,0.75,0,3227,102,6
167,23,0,0.88,0,3333,103,6
167,24,0,0.89,0,3333,104,6
169,25,0,0.71,0,3375,105,6
169,26,0,0.87,0,3375,106,6
170,19,1,0.41,0,3388,106,7
172,14,0,0.81,0,3413,107,7
172,15,0,1.06,0,3413,108,7
172,16,0,0.86,0,3413,109,7
172,28,0,0.97,0,3424,110,7
172,29,0,0.75,0,3424,111,7
174,11,0,0.72,0,3447,112,7
174,12,0,0.7,0,3447,113,7
176,18,0,0.75,0,3494,114,7
176,19,0,0.71,0,3494,115,7
178,21,0,0.71,0,3537,116,7
178,23,0,0.71,0,3538,117,7
178,24,1,0.6,0,3538,117,8
179,25,0,0.7,0,3553,118,8
183,28,0,0.72,0,3639,119,8
183,29,0,0.82,0,3639,120,8
183,30,0,0.83,0,3639,121,8
187,27,0,0.95,0,3719,122,8
187,28,0,0.85,0,3719,123,8
187,29,0,1.08,0,3719,124,8
187,30,0,1.21,0,3719,125,8
188,20,0,0.9,0,3729,126,8
188,21,0,0.8,0,3729,127,8
188,23,0,0.71,0,3730,128,8
188,26,0,0.87,0,3732,129,8
188,27,0,0.73,0,3732,130,8
188,28,0,0.73,0,3732,131,8
188,30,0,1.12,0,3733,132,8
196,21,0,0.83,0,3891,133,8
196,29,0,0.84,0,3898,134,8
196,30,0,0.91,0,3898,135,8
197,21,0,0.75,0,3909,136,8
197,23,0,0.71,0,3910,137,8
197,24,0,0.87,0,3910,138,8
197,25,0,1.02,0,3910,139,8
197,26,0,0.89,0,3910,140,8
197,27,0,0.84,0,3910,141,8
197,28,0,0.96,0,3910,142,8
197,29,0,0.99,0,3910,143,8
197,30,0,0.93,0,3910,144,8
198,29,1,0.35,0,3929,144,9
199,10,0,0.76,0,3929,145,9
199,17,0,0.74,0,3935,146,9
199,18,0,0.85,0,3935,147,9
199,19,0,0.81,0,3935,148,9
199,20,0,1.08,0,3935,149,9
199,21,0,1.08,0,3935,150,9
199,22,0,0.89,0,3935,151,9
199,26,0,0.75,0,3938,152,9
199,28,0,0.72,0,3939,153,9
203,29,1,0.31,0,4023,153,10
206,22,1,0.36,0,4077,153,11
207,17,0,0.72,0,4084,154,11
209,22,0,0.87,0,4130,155,11
217,16,0,0.87,0,4291,156,11
217,17,0,0.72,0,4291,157,11
225,25,0,0.7,0,4466,158,11
228,11,0,0.79,0,4514,159,11
228,12,0,0.9,0,4514,160,11
229,27,0,0.83,0,4549,161,11
229,30,0,0.8,0,4551,162,11
230,13,0,0.74,0,4554,163,11
235,28,1,0.29,0,4673,163,12
245,18,0,0.71,0,4870,164,12
249,11,0,0.74,0,4946,165,12
249,18,1,0.12,0,4952,165,13
252,30,0,0.75,0,5014,166,13
253,16,0,0.72,0,5020,167,13
253,17,0,0.74,0,5020,168,13
253,18,0,0.75,0,5020,169,13
253,19,0,0.82,0,5020,170,13
253,20,0,0.84,0,5020,171,13
253,21,0,0.8,0,5020,172,13
253,22,0,0.74,0,5020,173,13
253,23,0,0.74,0,5020,174,13
259,25,0,0.75,0,5147,175,13
259,26,0,0.79,0,5147,176,13
261,13,0,0.76,0,5175,177,13
276,22,0,0.73,0,5498,178,13
283,19,0,0.73,0,5641,179,13
289,26,0,0.71,0,5773,180,13
292,11,1,0.68,0,5820,180,14
296,22,0,0.74,0,5895,181,14
299,19,0,0.71,0,5954,182,14
299,20,0,0.76,0,5954,183,14
299,21,0,0.8,0,5954,184,14
299,22,0,0.74,0,5954,185,14
299,23,0,0.75,0,5954,186,14
302,17,0,0.73,0,6010,187,14
306,19,0,0.71,0,6095,188,14
307,30,0,0.75,0,6126,189,14
311,22,0,0.83,0,6201,190,14
311,23,0,1.01,0,6201,191,14
315,16,0,0.73,0,6277,192,14
315,17,0,0.74,0,6277,193,14
317,20,0,0.8,0,6321,194,14
320,27,1,0.44,0,6390,194,15
323,22,0,0.75,0,6444,195,15
323,23,0,0.82,0,6444,196,15
323,24,0,0.77,0,6444,197,15
