Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
11,30,0,0.75,0,241,1,0
39,23,1,-0.32,0,849,1,1
41,26,1,-0.46,0,888,1,2
43,24,0,0.78,0,925,2,2
43,25,0,0.94,0,925,3,2
56,27,0,0.74,0,1212,4,2
56,28,0,0.74,0,1212,5,2
70,15,1,-0.2,0,1506,5,3
73,14,0,0.73,0,1555,6,3
73,15,0,0.83,0,1555,7,3
74,14,1,-0.3,0,1575,7,4
78,20,0,0.74,0,1652,8,4
78,21,0,0.83,0,1652,9,4
110,12,1,-0.1,0,2346,9,5
111,27,1,-0.46,0,2364,9,6
115,20,1,-0.43,0,2441,9,7
117,14,1,-0.09,0,2468,9,8
118,14,1,-0.34,0,2473,9,9
126,26,1,-0.36,0,2644,9,10
127,12,1,-0.41,0,2647,9,11
129,29,1,-0.22,0,2689,9,12
130,26,1,-0.35,0,2706,9,13
134,28,0,0.84,0,2791,10,13
139,28,1,-0.57,0,2900,10,14
143,14,1,-0.27,0,2971,10,15
146,22,1,0.12,0,3028,10,16
147,15,0,0.7,0,3034,11,16
148,9,0,0.86,0,3049,12,16
160,21,1,-0.06,0,3324,12,17
164,25,0,0.73,0,3406,13,17
169,14,1,-0.54,0,3504,13,18
171,25,1,0.13,0,3542,13,19
175,24,1,-0.12,0,3623,13,20
182,12,1,-0.22,0,3758,13,21
193,18,1,-0.09,0,3987,13,22
210,19,0,0.81,0,4349,14,22
210,20,0,0.73,0,4349,15,22
211,18,1,-0.44,0,4368,15,23
212,22,1,-0.4,0,4381,15,24
216,18,1,-0.21,0,4456,15,25
219,12,0,0.88,0,4503,16,25
220,12,1,-0.16,0,4524,16,26
246,23,0,0.72,0,5088,17,26
248,17,1,-0.32,0,5125,17,27
253,20,1,-0.07,0,5224,17,28
255,17,1,-0.45,0,5254,17,29
257,14,1,-0.43,0,5281,17,30
258,19,1,-0.21,0,5291,17,31
278,30,1,-0.05,0,5730,17,32
289,12,1,-0.38,0,5953,17,33
291,14,1,-0.21,0,5980,17,34
317,30,1,-0.27,0,6551,17,35
319,17,1,-0.41,0,6581,17,36
336,18,0,0.74,0,6942,18,36
339,24,1,-0.02,0,7013,18,37
342,26,1,-0.16,0,7074,18,38
361,16,1,-0.22,0,7477,18,39
371,28,0,0.71,0,7694,19,39
395,17,1,-0.16,0,8210,19,40
403,19,1,-0.47,0,8374,19,41
405,13,1,-0.29,0,8400,19,42
409,15,1,-0.08,0,8472,19,43
413,26,1,-0.53,0,8555,19,44
424,17,1,-0.47,0,8783,19,45
436,12,1,-0.32,0,9028,19,46
450,11,1,-0.02,0,9316,19,47
452,20,0,0.72,0,9349,20,47
465,23,1,-0.6,0,9637,20,48
467,26,0,0.72,0,9676,21,48
467,27,0,0.73,0,9676,22,48
467,30,0,0.76,0,9678,23,48
485,15,0,0.72,0,10058,24,48
493,12,1,-0.37,0,10230,24,49
500,25,1,-0.25,0,10378,24,50
504,26,1,-0.55,0,10461,24,51
506,29,0,0.71,0,10503,25,51
512,12,0,0.77,0,10617,26,51
518,29,1,-0.39,0,10765,26,52
