Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
3,24,0,0.79,0,56,1,0
3,27,0,1.17,0,58,2,0
3,28,0,0.93,0,58,3,0
3,29,0,0.72,0,58,4,0
8,22,0,0.83,0,155,5,0
8,24,0,0.74,0,156,6,0
10,16,0,0.75,0,189,7,0
10,19,0,0.71,0,191,8,0
10,27,1,0.68,0,198,8,1
12,19,0,0.7,0,228,9,1
12,20,0,1.07,0,228,10,1
12,21,0,1.2,0,228,11,1
12,22,0,0.83,0,228,12,1
12,23,0,0.91,0,228,13,1
12,24,0,0.91,0,228,14,1
12,25,0,0.82,0,228,15,1
13,22,0,0.74,0,245,16,1
19,11,0,0.83,0,359,17,1
19,13,0,0.83,0,360,18,1
19,14,0,0.79,0,360,19,1
19,15,0,0.76,0,360,20,1
20,18,0,0.71,1,373,21,1
20,20,0,0.71,1,374,22,1
20,25,1,0.16,1,378,22,2
21,25,0,0.74,1,393,23,2
21,26,0,0.7,1,393,24,2
21,27,0,0.78,1,393,25,2
21,28,0,0.86,1,393,26,2
23,26,0,0.8,1,432,27,2
24,14,0,0.9,1,440,28,2
26,13,0,0.97,2,472,29,2
26,14,0,0.8,2,472,30,2
26,20,1,0.6,2,477,30,3
27,10,0,0.7,2,477,31,3
28,14,0,0.77,3,489,32,3
28,25,1,0.14,3,499,32,4
29,15,0,0.76,3,504,33,4
29,16,0,0.81,3,504,34,4
29,17,0,0.86,3,504,35,4
29,18,0,0.86,3,504,36,4
29,21,0,0.85,3,506,37,4
29,22,0,0.73,3,506,38,4
29,25,0,0.85,3,508,39,4
29,26,0,0.74,3,508,40,4
30,26,0,0.79,4,524,41,4
30,27,0,0.78,4,524,42,4
31,25,0,0.71,5,539,43,4
32,17,0,0.71,6,546,44,4
32,21,0,0.74,6,549,45,4
35,17,0,0.92,6,607,46,4
35,18,0,0.92,6,607,47,4
35,19,0,0.83,6,607,48,4
35,20,0,0.86,6,607,49,4
36,21,0,0.74,6,628,50,4
37,20,0,0.76,7,644,51,4
37,21,1,0.59,7,644,51,5
38,30,1,0.12,7,664,51,6
41,20,1,0.02,7,716,51,7
44,19,0,0.74,7,767,52,7
44,20,0,0.79,7,767,53,7
44,21,0,0.86,7,767,54,7
44,22,0,0.81,7,767,55,7
45,16,0,0.71,7,781,56,7
45,20,1,0.46,7,784,56,8
47,18,1,0.13,8,806,56,9
49,23,0,0.78,8,840,57,9
49,25,0,0.77,8,841,58,9
50,21,0,0.74,9,856,59,9
50,26,0,0.77,9,860,60,9
50,28,0,0.99,9,861,61,9
50,29,0,0.85,9,861,62,9
50,30,0,0.76,9,861,63,9
52,15,1,0.3,10,886,63,10
54,19,0,0.75,10,916,64,10
55,25,0,0.71,11,941,65,10
57,24,0,0.8,11,981,66,10
58,18,0,0.72,11,995,67,10
58,21,0,0.73,11,997,68,10
58,22,0,0.73,11,997,69,10
59,19,0,0.79,12,1009,70,10
61,21,0,0.76,12,1052,71,10
61,24,0,0.74,12,1054,72,10
63,16,0,0.95,12,1087,73,10
64,15,0,0.76,12,1106,74,10
66,14,0,0.72,13,1131,75,10
66,18,0,1.0,13,1134,76,10
66,19,0,1.17,13,1134,77,10
66,22,0,0.73,13,1136,78,10
66,23,0,0.72,13,1136,79,10
67,27,0,0.77,13,1160,80,10
67,29,0,0.83,13,1161,81,10
68,19,0,0.79,13,1171,82,10
69,30,0,0.87,13,1202,83,10
73,23,0,0.86,13,1278,84,10
73,24,0,0.92,13,1278,85,10
73,25,0,0.94,13,1278,86,10
73,29,0,0.73,13,1281,87,10
84,20,0,0.88,13,1502,88,10
84,21,0,0.9,13,1502,89,10
84,22,0,0.71,13,1502,90,10
92,14,0,0.75,14,1655,91,10
92,16,0,0.79,14,1656,92,10
98,25,0,0.86,14,1790,93,10
98,28,0,1.0,14,1792,94,10
101,25,0,0.76,15,1834,95,10
102,24,0,0.84,15,1853,96,10
104,11,0,0.73,16,1874,97,10
104,22,1,0.69,16,1884,97,11
105,19,0,0.74,16,1893,98,11
105,20,0,1.0,16,1893,99,11
105,21,0,0.96,16,1893,100,11
105,23,0,0.89,16,1894,101,11
106,30,0,0.76,16,1921,102,11
107,25,0,0.75,16,1936,103,11
109,16,0,0.88,17,1967,104,11
109,22,0,0.92,17,1972,105,11
110,18,0,0.72,18,1984,106,11
110,27,1,0.4,18,1992,106,12
112,27,0,0.85,19,2026,107,12
112,28,0,0.86,19,2026,108,12
113,26,0,0.87,19,2044,109,12
113,27,0,0.74,19,2044,110,12
113,28,0,1.18,19,2044,111,12
118,28,0,0.73,19,2148,112,12
119,22,0,0.75,19,2162,113,12
122,21,0,0.89,19,2223,114,12
126,27,0,0.9,19,2312,115,12
126,28,0,0.91,19,2312,116,12
126,30,0,0.84,19,2313,117,12
128,27,0,0.86,19,2351,118,12
128,28,0,0.7,19,2351,119,12
128,29,0,0.86,19,2351,120,12
128,30,0,0.76,19,2351,121,12
131,17,0,0.99,19,2400,122,12
131,25,0,0.76,19,2407,123,12
132,24,0,0.92,19,2426,124,12
