Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
37,14,0,1.07,0,760,1,0
38,14,0,0.76,0,780,2,0
40,14,0,0.76,0,821,3,0
42,15,0,0.79,0,863,4,0
50,28,0,0.75,1,1030,5,0
54,10,0,0.71,1,1095,6,0
59,20,1,0.49,2,1201,6,1
60,19,0,0.81,2,1210,7,1
60,20,0,0.88,2,1210,8,1
60,23,0,0.84,2,1212,9,1
60,24,0,0.71,2,1212,10,1
62,20,0,0.77,4,1239,11,1
62,21,0,0.71,4,1239,12,1
62,25,0,0.8,4,1242,13,1
62,26,0,0.91,4,1242,14,1
62,27,0,0.73,4,1242,15,1
62,28,0,0.86,4,1242,16,1
62,29,0,0.77,4,1242,17,1
63,28,0,0.75,5,1260,18,1
64,13,0,0.86,5,1265,19,1
64,14,0,1.01,5,1265,20,1
64,15,0,0.8,5,1265,21,1
64,16,0,0.7,5,1265,22,1
64,17,0,0.74,5,1265,23,1
64,19,0,0.73,5,1266,24,1
64,21,0,0.97,5,1267,25,1
64,22,0,1.01,5,1267,26,1
64,23,0,0.71,5,1267,27,1
64,24,0,0.82,5,1267,28,1
64,25,0,0.83,5,1267,29,1
66,29,0,0.73,6,1307,30,1
70,16,0,0.76,7,1368,31,1
70,17,0,1.34,7,1368,32,1
71,14,0,0.95,8,1372,33,1
71,15,0,0.76,8,1372,34,1
72,14,0,0.72,9,1379,35,1
72,15,0,0.87,9,1379,36,1
74,12,0,0.79,11,1398,37,1
74,13,0,0.86,11,1398,38,1
75,18,0,0.72,12,1406,39,1
75,19,0,0.73,12,1406,40,1
78,12,0,0.74,15,1412,41,1
78,14,0,0.79,15,1413,42,1
78,19,0,0.84,15,1417,43,1
78,20,0,0.95,15,1417,44,1
78,21,0,1.03,15,1417,45,1
79,10,0,0.91,16,1418,46,1
80,20,0,0.73,17,1428,47,1
81,26,0,0.83,18,1444,48,1
81,27,0,0.83,18,1444,49,1
81,28,0,0.93,18,1444,50,1
82,16,0,0.81,19,1450,51,1
83,11,1,0.21,20,1452,51,2
84,16,0,0.78,20,1458,52,2
84,17,0,0.98,20,1458,53,2
84,18,0,0.85,20,1458,54,2
84,19,0,0.77,20,1458,55,2
85,16,0,1.0,21,1464,56,2
85,17,0,1.02,21,1464,57,2
85,19,0,0.75,21,1465,58,2
85,20,0,0.75,21,1465,59,2
86,17,0,0.72,22,1472,60,2
87,21,0,0.74,23,1483,61,2
87,28,1,0.53,23,1489,61,3
88,24,1,0.54,23,1503,61,4
89,29,1,0.29,23,1522,61,5
90,22,0,0.73,23,1534,62,5
93,11,0,0.77,26,1568,63,5
94,30,1,-0.21,27,1592,63,6
95,27,0,0.71,27,1609,64,6
96,18,0,0.85,27,1620,65,6
98,16,0,0.84,28,1647,66,6
98,17,0,0.86,28,1647,67,6
98,19,0,0.86,28,1648,68,6
99,17,0,0.7,29,1656,69,6
99,18,0,0.82,29,1656,70,6
99,19,0,0.77,29,1656,71,6
99,20,0,0.86,29,1656,72,6
99,21,1,0.26,29,1656,72,7
100,18,0,0.77,29,1664,73,7
101,12,0,0.78,30,1676,74,7
102,29,1,0.54,31,1708,74,8
