Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
4,26,0,0.76,0,79,1,0
4,27,0,0.74,0,79,2,0
4,28,0,0.73,0,79,3,0
4,29,0,0.81,0,79,4,0
4,30,0,0.86,0,79,5,0
7,20,0,0.84,0,131,6,0
8,14,0,0.73,0,145,7,0
9,10,0,0.77,0,161,8,0
9,30,0,0.77,0,180,9,0
10,22,0,0.96,0,192,10,0
10,26,0,0.8,0,195,11,0
11,26,0,0.7,0,215,12,0
13,23,0,0.78,0,253,13,0
13,27,0,0.91,0,256,14,0
14,23,0,0.78,0,272,15,0
14,27,0,0.81,0,275,16,0
16,19,0,0.73,0,308,17,0
16,22,0,1.21,0,310,18,0
16,23,0,0.72,0,310,19,0
18,27,0,0.81,0,355,20,0
18,28,0,0.91,0,355,21,0
18,30,0,0.79,0,356,22,0
19,16,0,0.71,0,362,23,0
20,24,0,1.06,0,390,24,0
20,26,0,0.79,0,391,25,0
20,28,0,0.84,0,392,26,0
22,30,0,0.86,0,435,27,0
25,29,0,0.84,0,496,28,0
26,22,0,0.74,0,509,29,0
26,25,0,0.74,0,511,30,0
26,27,0,0.82,0,512,31,0
26,29,0,0.79,0,513,32,0
26,30,0,0.92,0,513,33,0
27,23,0,0.87,0,526,34,0
28,15,0,0.76,0,538,35,0
28,19,0,0.95,0,541,36,0
28,21,0,0.89,0,542,37,0
28,22,0,0.93,0,542,38,0
28,23,0,0.73,0,542,39,0
28,30,0,0.74,0,548,40,0
31,16,0,0.71,0,596,41,0
31,17,0,0.84,0,596,42,0
31,18,0,0.76,0,596,43,0
31,19,0,0.77,0,596,44,0
31,20,0,0.71,0,596,45,0
32,20,0,0.78,0,616,46,0
32,26,0,0.7,0,621,47,0
33,17,0,0.77,0,632,48,0
33,22,0,0.75,0,636,49,0
34,23,0,0.96,0,657,50,0
34,24,0,0.86,0,657,51,0
34,25,0,0.87,0,657,52,0
34,27,0,0.81,0,658,53,0
35,25,0,0.97,0,676,54,0
35,26,0,0.9,0,676,55,0
35,27,0,0.91,0,676,56,0
35,28,0,0.94,0,676,57,0
35,29,0,0.88,0,676,58,0
35,30,0,0.89,0,676,59,0
38,27,0,0.83,0,735,60,0
38,28,0,0.91,0,735,61,0
39,17,0,0.72,0,744,62,0
39,18,0,0.82,0,744,63,0
39,19,0,0.85,0,744,64,0
39,21,0,0.94,0,745,65,0
40,10,0,0.9,0,754,66,0
40,22,0,0.74,0,765,67,0
40,23,0,0.77,0,765,68,0
40,24,0,0.83,0,765,69,0
40,25,0,1.06,0,765,70,0
42,12,0,0.83,0,793,71,0
42,14,0,0.9,0,794,72,0
42,19,0,0.73,0,798,73,0
42,20,0,0.78,0,798,74,0
42,21,0,0.95,0,798,75,0
42,22,0,0.95,0,798,76,0
42,23,0,0.7,0,798,77,0
42,29,0,0.89,0,803,78,0
45,29,0,0.89,0,865,79,0
47,17,0,0.71,0,894,80,0
50,16,0,0.76,0,955,81,0
50,20,0,1.03,0,958,82,0
50,22,0,1.09,0,959,83,0
50,26,0,0.75,0,962,84,0
50,27,0,0.88,0,962,85,0
50,28,0,0.81,0,962,86,0
51,30,0,0.72,0,984,87,0
52,28,0,0.93,0,1002,88,0
52,29,0,1.0,0,1002,89,0
53,23,0,0.76,0,1016,90,0
53,26,0,0.88,0,1018,91,0
53,28,0,0.86,0,1019,92,0
53,30,0,0.89,0,1020,93,0
54,14,0,0.78,0,1024,94,0
54,23,0,0.74,0,1032,95,0
54,24,0,0.86,0,1032,96,0
54,27,0,0.82,0,1034,97,0
54,28,1,0.36,0,1034,97,1
55,11,0,0.75,0,1035,98,1
55,15,0,0.72,0,1038,99,1
55,16,0,0.71,0,1038,100,1
55,17,0,0.78,0,1038,101,1
55,18,0,0.86,0,1038,102,1
