Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
1,29,0,0.82,0,19,1,0
2,19,0,0.91,0,29,2,0
2,27,0,0.78,0,36,3,0
2,28,0,0.76,0,36,4,0
3,25,0,0.77,0,53,5,0
3,27,0,1.04,0,54,6,0
4,25,0,0.71,0,72,7,0
4,26,0,0.72,0,72,8,0
4,29,0,0.79,0,74,9,0
4,30,0,0.87,0,74,10,0
5,25,0,0.71,0,89,11,0
5,27,0,0.72,0,90,12,0
5,28,0,0.71,0,90,13,0
7,29,0,0.87,0,132,14,0
8,12,0,0.81,0,135,15,0
8,14,0,0.76,0,136,16,0
8,15,0,0.81,0,136,17,0
8,16,0,0.84,0,136,18,0
8,17,0,0.72,0,136,19,0
8,18,0,0.75,0,136,20,0
8,19,0,0.77,0,136,21,0
8,20,0,0.75,0,136,22,0
8,24,0,0.77,0,139,23,0
8,25,0,0.84,0,139,24,0
8,26,0,0.96,0,139,25,0
8,27,0,0.91,0,139,26,0
9,20,0,0.86,1,149,27,0
9,21,0,0.84,1,149,28,0
9,22,0,0.7,1,149,29,0
9,25,0,0.73,1,151,30,0
9,26,0,0.81,1,151,31,0
10,18,0,0.76,1,163,32,0
10,19,0,1.03,1,163,33,0
10,30,1,0.54,1,173,33,1
11,10,0,0.71,1,173,34,1
11,12,0,0.71,1,174,35,1
11,16,0,0.75,1,177,36,1
11,17,0,0.92,1,177,37,1
11,18,0,0.72,1,177,38,1
11,23,1,0.65,1,181,38,2
12,27,1,0.67,1,198,38,3
13,20,0,0.76,1,208,39,3
13,26,0,0.76,1,213,40,3
14,26,0,0.75,1,233,41,3
14,27,0,0.78,1,233,42,3
15,22,0,0.79,2,245,43,3
15,23,0,0.87,2,245,44,3
15,24,0,0.83,2,245,45,3
15,26,0,0.8,2,246,46,3
16,11,0,0.79,3,247,47,3
16,13,0,0.85,3,248,48,3
16,14,0,0.89,3,248,49,3
16,15,0,1.02,3,248,50,3
16,16,0,0.75,3,248,51,3
17,15,0,0.96,4,254,52,3
17,16,0,0.83,4,254,53,3
17,17,0,0.78,4,254,54,3
17,19,0,0.79,4,255,55,3
18,14,0,0.76,5,259,56,3
18,15,0,0.83,5,259,57,3
18,16,0,0.77,5,259,58,3
18,23,1,0.44,5,265,58,4
19,15,0,0.75,5,270,59,4
19,16,0,0.87,5,270,60,4
19,18,0,0.87,5,271,61,4
19,21,0,0.77,5,273,62,4
19,23,1,0.2,5,274,62,5
21,13,0,0.83,6,287,63,5
22,18,0,0.7,7,295,64,5
23,15,0,0.73,8,303,65,5
23,16,1,0.69,8,303,65,6
25,14,0,0.79,9,318,66,6
25,16,1,0.69,9,319,66,7
26,16,1,0.19,9,325,66,8
27,18,0,0.8,9,333,67,8
27,28,1,0.37,9,342,67,9
28,13,0,0.76,9,345,68,9
28,17,1,0.16,9,348,68,10
29,12,0,0.85,9,350,69,10
29,13,0,0.78,9,350,70,10
29,14,0,0.85,9,350,71,10
29,17,0,0.72,9,352,72,10
30,14,0,1.0,10,358,73,10
31,22,1,0.57,11,372,73,11
32,12,0,0.76,11,374,74,11
32,15,0,0.72,11,376,75,11
32,16,1,0.55,11,376,75,12
33,10,0,0.99,11,376,76,12
33,11,0,0.9,11,376,77,12
33,12,0,0.97,11,376,78,12
33,13,0,1.09,11,376,79,12
33,14,0,0.73,11,376,80,12
33,15,0,0.88,11,376,81,12
33,16,0,1.12,11,376,82,12
33,17,0,1.26,11,376,83,12
34,16,1,0.63,12,382,83,13
35,16,0,0.9,12,388,84,13
35,17,0,1.01,12,388,85,13
35,18,0,1.11,12,388,86,13
35,19,0,0.99,12,388,87,13
36,11,0,0.94,13,391,88,13
36,12,0,0.99,13,391,89,13
36,13,0,0.98,13,391,90,13
36,14,0,1.04,13,391,91,13
37,10,0,0.9,14,391,92,13
37,11,0,0.71,14,391,93,13
37,15,0,0.79,14,394,94,13
37,18,0,0.71,14,396,95,13
37,19,0,0.72,14,396,96,13
37,22,0,0.81,14,398,97,13
37,23,0,0.84,14,398,98,13
