Rewardlist,,ButtonData,Zposition(Inches),Zposition(mm),,,,,
1,1,1,11.8778616267115,301.697685318472,301.697685318472,,,,
0.404146696171166,0.702073348085583,0,12.0320007293195,305.612818524714,303.655251921593,,,,
0.432855500027538,0.612334065399568,0,12.0029469692618,304.874853019249,304.061785620812,,,,
1,0.709250549049676,1,11.888398044017,301.965310318031,303.537666795116,,,,
1,0.767400439239741,1,11.887235283488,301.935776200596,303.217288676212,,,, 
1,0.806167032699784,1,11.8872223769635,301.935448374873,303.003648625989,,,,
0.426365864825248,0.751909723003422,0,12.0110276269436,305.080101724367,303.3002847829,,,,
0.473299854651094,0.717083489459381,0,11.9649748007476,303.91035993899,303.376544177411,,,,
0.435427418372035,0.685788370449676,0,12.0020188728154,304.85127936951,303.5404036432,,,,
0.469681334498524,0.664177666854561,0,11.9686590268433,304.00393928182,303.586757207062,,,,   
0.419232076716423,0.641909885932912,0,12.0185673839152,305.271611551446,303.739925783824,,,,
1,0.671750728771836,1,11.8988887018263,302.231773026389,303.614246387371,,,,
1,0.697000672712464,1,11.89889926171,302.232041247435,303.507922915069,,,,
0.447849361580611,0.67920415048876,0,11.98866765984,304.512158559936,303.579654032559,,,,
1,0.700590540456176,1,11.8938363841295,302.10344415689,303.481240040848,,,,
0.481213900834323,0.68687950047981,0,11.9547012072146,303.649410663251,303.491750704748,,,,
1,0.705298353392762,1,11.8954649528623,302.144809802701,303.412518886981,,,,
1,0.721670667093165,1,11.8982105226278,302.214547274747,303.345964908523,,,,
1,0.736319579351419,1,11.887047552222,301.931007826439,303.27149348315,,,,
1,0.749503600383848,1,11.8885681754768,301.96963165711,303.206400391848,,,,
1,0.76143200036557,1,11.8852570652723,301.885529457917,303.143501775947,,,,
1,0.772276000348953,1,11.8946483218551,302.124067375119,303.097163848636,,,,
1,0.782177043812042,1,11.8911928932399,302.036299488292,303.05103931123,,,,
1,0.791253000319873,1,11.8867213691473,301.922722776341,303.004026122276,,,,
1,0.799602880307079,1,11.8921327228904,302.060171161416,302.966271923842,,,,
1,0.807310461833729,1,11.8922394950479,302.062883174217,302.931526202703,,,,
0.424445139309764,0.793130264703212,0,12.0126679288805,305.121765393564,303.012646172734,,,,
0.44274307114482,0.780616436361841,0,11.9950164965928,304.673419013456,303.071959488475,,,,
0.499359301015733,0.770917914453354,0,11.9370967077434,303.202256376683,303.07645248462,,,,
0.509232792288065,0.762195077047845,0,11.9271903634995,302.950635232888,303.072258576229,,,,
0,0.737608139078559,0,11.9364689813226,303.186312125595,303.075937722982,,,,
0.522662617731093,0.730891091536451,0,11.9144879967123,302.627995116493,303.06193951653,,,,
0,0.708742876641407,0,12.2164431782246,310.297656726904,303.28120367442,,,,
0.152947009068727,0.692395939359858,0,12.2838504359305,312.009801072634,303.537927127308,,,,
1,0.701184626806719,1,11.8930150598407,302.082582519953,303.496345852812,,,,
0,0.681707276062088,0,12.1280956711143,308.053630046304,303.622937080409,,,,
0.428936609849334,0.674875636434716,0,12.0078549685478,304.999516201115,303.66014192151,,,,
0,0.657115751265381,0,12.1143560890824,307.704644662692,303.766576204172,,,,
1,0.66590765507909,1,11.8973105858713,302.191688881132,303.72619447794,,,,
1,0.674259963702112,1,11.9009467058301,302.284046328084,303.690140774194,,,,
1,0.682204842636207,1,11.903593716681,302.351280403697,303.657485643206,,,,
1,0.689771394002012,1,11.8988089160383,302.229746467372,303.623491853306,,,,
1,0.696986012746151,1,11.8980368712068,302.210136528652,303.590623124825,,,,
1,0.703872694274648,1,11.8960351865828,302.159293739203,303.558092911516,,,,
1,0.710453301068544,1,11.8964388088048,302.169545743641,303.527236307785,,,,
1,0.716747794523576,1,11.89113657386,302.034868976045,303.494793539704,,,,
1,0.722774437193287,1,11.9007355081558,302.278681907158,303.468918824118,,,,
0.411377869874238,0.716287008707474,0,12.0263981243491,305.470512358468,303.510618689417,,,,
0.352470145237447,0.708862174759106,0,12.0848259609371,306.954579407803,303.580903602037,,,,
0.40723487549722,0.702829628773868,0,12.0297115811944,305.554674162338,303.620379013243,,,,
1,0.702829628773868,1,11.9019452015013,302.309408118132,303.632613469236,,,,
1,0.714746694850445,1,11.9041123243034,302.364453037306,303.567646159488,,,,
1,0.726089584849894,1,11.904057178244,302.363052327397,303.517410145651,,,,
1,0.726089584849894,1,11.9098709808886,302.510722914571,303.528318397582,,,,
1,0.726089584849894,1,11.8992512578338,302.240981948979,303.534422512549,,,,
0.355478538775445,0.713199155625403,0,12.0809962431103,306.857304575002,303.632859636552,,,,
1,0.724671838328898,1,11.9055484684885,302.400931099607,303.579276224057,,,,
0.302981836873293,0.721265477973342,0,12.1347131982416,308.221715235336,303.665503329984,,,,
0.350148144140839,0.719559892488718,0,12.0869860438168,307.009445512947,303.708666652852,,,,
0.348064327087998,0.717127552340507,0,12.0904966184914,307.098614109682,303.77056014941,,,,
0.198099898508191,0.712704908776343,0,12.2401735835701,310.900409022681,303.883136098834,,,,
0.252150076636672,0.697747910309076,0,12.1849313119024,309.497255322321,304.028445744753,,,,
0.421960046675801,0.686187111242592,0,12.0159778657645,305.205837790418,304.087921675613,,,,
0.242634448090195,0.682082812972784,0,12.193048342517,309.703427899932,304.191747062413,,,,
0.34935615286231,0.66906993603003,0,12.0873251334161,307.018058388768,304.29003934705,,,,
0.408215771362187,0.667609973440587,0,12.0299086990237,305.559680955203,304.328244752889,,,,
1,0.667609973440587,1,11.9081579330862,302.467211500388,304.334692786843,,,,
0.49588509927392,0.657527675426066,0,11.9401391275734,303.279533840364,304.355992518155,,,,
1,0.657527675426066,1,11.9097430889636,302.507474459676,304.36752185082,,,,
1,0.657527675426066,1,11.9094298124135,302.499517235302,304.378119562384,,,,
0.449849872884155,0.646524672883749,0,11.986236539945,304.450408114603,304.429417135517,,,,
0.392871087005735,0.634382094623864,0,12.042415121302,305.877344081071,304.504482669636,,,,
1,0.634382094623864,1,11.9131152118295,302.59312638047,304.51561920748,,,,
