ButtonData,GRUOutput,AttemptNum,Episode,Timestep
0,0.41,6,1,15
0,0.62,26,2,14
0,-0.32,32,2,20
0,0.93,53,3,20
0,0.69,55,3,22
0,0.43,79,4,25
0,0.46,80,4,26
0,0.56,82,4,28
0,0.37,98,5,23
0,0.63,120,6,24
0,0.71,128,7,11
0,0.51,139,7,22
0,0.44,140,7,23
0,0.37,142,7,25
0,0.5,143,7,26
0,0.78,154,8,16
0,0.5,219,11,18
0,0.36,269,13,26
0,0.3,279,14,15
0,0.76,305,15,20
0,0.6,309,15,24
0,0.57,366,18,18
0,0.57,388,19,19
0,0.31,399,19,30
0,0.85,535,26,19
0,0.57,538,26,22
0,0.6,543,26,27
0,0.8,577,28,19
0,0.97,578,28,20
0,0.96,580,28,22
0,0.33,585,28,27
0,0.81,601,29,22
0,0.4,610,30,10
0,0.43,625,30,25
0,0.52,645,31,24
0,0.35,658,32,16
0,0.67,670,32,28
0,1.0,703,34,19
0,0.81,715,35,10
0,0.34,734,35,29
0,0.66,754,36,28
0,0.38,776,38,15
0,0.31,789,38,28
0,0.66,814,40,11
0,0.46,872,42,27
0,0.43,900,44,22
1,0.48,906,44,28
1,0.15,927,45,30
0,0.44,928,46,10
0,0.91,930,46,12
0,0.67,931,46,13
0,0.62,950,47,11
0,0.48,960,47,21
0,0.32,963,47,24
0,0.36,977,48,22
0,0.31,988,49,18
1,0.6,991,49,21
0,0.32,1071,53,29
0,0.37,1078,54,15
0,0.48,1079,54,16
1,0.22,1083,54,20
0,0.47,1087,55,13
1,0.67,1102,55,28
0,0.51,1111,56,18
0,0.48,1112,56,19
0,0.71,1119,56,26
1,0.35,1123,56,30
0,0.56,1137,57,23
0,0.38,1139,57,25
0,0.43,1151,58,19
1,-0.09,1166,59,23
1,0.45,1174,60,17
1,-0.02,1187,61,22
0,0.42,1197,62,19
0,0.97,1203,63,14
0,0.34,1215,63,26
0,0.32,1223,64,13
0,0.74,1253,65,22
0,0.39,1254,65,23
0,0.39,1255,65,24
0,0.65,1267,66,19
0,0.37,1269,66,21
0,0.37,1270,66,22
0,0.46,1275,66,27
0,0.61,1286,67,17
0,0.49,1288,67,19
1,0.46,1292,67,23
0,0.51,1295,68,12
0,0.37,1298,68,15
1,-0.02,1299,68,16
0,0.53,1300,69,10
1,0.41,1310,69,20
1,0.4,1320,70,19
1,0.01,1333,71,22
1,0.61,1348,72,24
0,0.37,1357,73,18
0,0.66,1420,76,18
0,0.53,1458,78,14
0,0.59,1469,78,25
0,0.49,1535,82,17
1,0.51,1544,82,26
0,0.99,1548,83,13
1,0.35,1552,83,17
0,0.32,1625,87,30
0,0.38,1675,91,17
0,0.45,1678,91,20
0,0.32,1682,91,24
0,0.61,1688,91,30
0,0.66,1705,93,13
0,0.7,1706,93,14
1,0.54,1715,93,23
0,0.45,1720,94,14
0,0.65,1721,94,15
0,0.45,1732,94,26
0,0.64,1807,99,12
0,1.02,1813,99,18
0,0.66,1814,99,19
0,0.39,1841,100,25
0,0.56,1848,101,13
0,0.79,1849,101,14
0,1.0,1854,101,19
0,0.63,1855,101,20
0,0.39,1864,101,29
0,0.46,1887,103,16
0,0.69,1888,103,17
0,0.76,1889,103,18
0,0.33,1903,104,13
0,0.31,1907,104,17
0,0.38,1908,104,18
0,0.38,1938,105,27
0,0.86,1947,106,16
0,0.31,1980,108,12
0,0.46,1981,108,13
0,1.1,1998,109,13
1,0.65,1999,109,14
