Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
2,30,0,0.76,0,41,1,0
4,24,0,0.83,0,76,2,0
4,28,0,0.9,0,79,3,0
4,29,0,0.88,0,79,4,0
4,30,0,0.74,0,79,5,0
6,24,0,1.0,0,114,6,0
8,25,0,0.8,0,156,7,0
11,25,0,0.76,0,218,8,0
11,29,0,0.79,0,221,9,0
11,30,0,0.74,0,221,10,0
13,29,0,0.8,0,261,11,0
14,25,0,0.83,0,277,12,0
15,23,0,0.98,0,295,13,0
15,25,0,0.88,0,296,14,0
15,28,0,0.83,0,298,15,0
35,15,0,0.77,0,704,16,0
36,29,0,0.84,0,738,17,0
36,30,0,0.84,0,738,18,0
37,24,0,0.79,0,752,19,0
37,25,0,0.7,0,752,20,0
37,27,0,0.75,0,753,21,0
37,28,0,0.77,0,753,22,0
40,12,0,0.79,1,795,23,0
40,13,0,0.7,1,795,24,0
40,15,0,0.82,1,796,25,0
40,16,0,0.82,1,796,26,0
44,19,0,0.75,1,882,27,0
45,16,0,0.78,2,888,28,0
45,17,0,0.7,2,888,29,0
45,21,0,0.71,2,891,30,0
46,10,0,0.84,2,900,31,0
48,23,0,0.8,3,946,32,0
48,24,0,0.84,3,946,33,0
48,25,0,0.76,3,946,34,0
48,26,0,0.84,3,946,35,0
48,27,0,0.88,3,946,36,0
48,28,0,0.73,3,946,37,0
48,29,0,0.98,3,946,38,0
48,30,0,1.02,3,946,39,0
49,20,1,0.19,3,956,39,1
51,20,0,0.7,3,987,40,1
51,22,0,0.74,3,988,41,1
51,24,0,0.78,3,989,42,1
53,30,0,0.84,3,1036,43,1
54,20,0,0.76,3,1046,44,1
54,21,1,0.39,3,1046,44,2
55,23,0,0.71,3,1059,45,2
56,24,0,0.72,3,1080,46,2
56,25,0,1.01,3,1080,47,2
56,26,0,0.86,3,1080,48,2
56,27,0,0.86,3,1080,49,2
56,28,0,0.93,3,1080,50,2
56,29,0,0.91,3,1080,51,2
56,30,0,0.92,3,1080,52,2
57,22,0,0.84,3,1092,53,2
57,23,0,0.71,3,1092,54,2
58,22,0,1.13,3,1111,55,2
58,27,0,0.76,3,1115,56,2
59,13,0,0.77,3,1121,57,2
59,14,0,0.91,3,1121,58,2
59,15,0,0.84,3,1121,59,2
59,16,0,0.78,3,1121,60,2
59,17,0,0.92,3,1121,61,2
59,18,0,0.76,3,1121,62,2
59,19,0,0.72,3,1121,63,2
59,20,0,0.74,3,1121,64,2
59,21,0,1.0,3,1121,65,2
59,22,0,1.07,3,1121,66,2
59,23,0,1.04,3,1121,67,2
61,13,0,0.95,5,1136,68,2
61,14,0,0.94,5,1136,69,2
61,15,0,1.01,5,1136,70,2
61,16,0,0.85,5,1136,71,2
61,17,0,1.06,5,1136,72,2
61,18,0,0.97,5,1136,73,2
61,19,0,1.03,5,1136,74,2
61,20,0,0.9,5,1136,75,2
61,21,0,0.81,5,1136,76,2
61,22,0,0.93,5,1136,77,2
61,23,0,0.88,5,1136,78,2
61,24,0,0.84,5,1136,79,2
61,26,0,0.72,5,1137,80,2
61,27,0,0.91,5,1137,81,2
61,28,0,0.89,5,1137,82,2
61,29,0,0.8,5,1137,83,2
62,21,0,0.72,6,1148,84,2
62,23,0,0.74,6,1149,85,2
64,17,0,0.76,6,1184,86,2
64,24,0,0.71,6,1190,87,2
64,29,0,0.73,6,1194,88,2
64,30,0,0.71,6,1194,89,2
67,15,0,0.88,7,1224,90,2
67,16,0,0.83,7,1224,91,2
67,17,0,0.88,7,1224,92,2
67,18,0,0.84,7,1224,93,2
67,19,0,1.03,7,1224,94,2
67,20,0,0.89,7,1224,95,2
67,21,0,0.84,7,1224,96,2
67,22,0,0.78,7,1224,97,2
67,23,0,1.03,7,1224,98,2
67,24,0,0.98,7,1224,99,2
67,25,0,0.98,7,1224,100,2
67,26,0,0.87,7,1224,101,2
67,27,0,0.72,7,1224,102,2
67,28,0,0.85,7,1224,103,2
67,29,0,1.0,7,1224,104,2
68,26,0,0.75,7,1241,105,2
68,28,0,0.94,7,1242,106,2
68,29,0,0.97,7,1242,107,2
68,30,0,0.95,7,1242,108,2
72,10,0,0.82,9,1265,109,2
73,12,0,0.72,10,1267,110,2
73,17,0,0.89,10,1271,111,2
73,18,0,0.72,10,1271,112,2
74,20,0,0.78,11,1281,113,2
74,22,0,0.81,11,1282,114,2
74,23,0,1.02,11,1282,115,2
74,24,0,0.99,11,1282,116,2
75,28,0,1.0,12,1300,117,2
75,29,0,0.83,12,1300,118,2
75,30,0,0.81,12,1300,119,2
76,20,0,0.8,12,1310,120,2
76,21,0,0.78,12,1310,121,2
76,22,0,0.94,12,1310,122,2
76,23,0,1.18,12,1310,123,2
76,24,0,1.15,12,1310,124,2
76,25,0,0.93,12,1310,125,2
76,26,0,1.11,12,1310,126,2
76,27,0,0.76,12,1310,127,2
76,28,0,1.02,12,1310,128,2
76,29,0,1.06,12,1310,129,2
76,30,0,0.96,12,1310,130,2
77,10,0,0.92,12,1310,131,2
77,11,0,0.79,12,1310,132,2
77,12,0,0.84,12,1310,133,2
78,10,0,0.75,13,1314,134,2
78,12,0,0.95,13,1315,135,2
78,13,0,0.79,13,1315,136,2
78,22,0,0.76,13,1323,137,2
78,23,0,0.71,13,1323,138,2
78,24,0,0.72,13,1323,139,2
78,25,0,0.96,13,1323,140,2
78,26,0,0.94,13,1323,141,2
78,27,0,0.98,13,1323,142,2
78,28,0,0.71,13,1323,143,2
78,30,0,0.72,13,1324,144,2
79,29,0,0.73,13,1343,145,2
80,19,0,0.74,13,1353,146,2
80,22,0,0.81,13,1355,147,2
80,23,0,0.7,13,1355,148,2
80,26,0,0.83,13,1357,149,2
81,10,0,0.85,13,1361,150,2
81,11,0,0.73,13,1361,151,2
81,12,0,0.92,13,1361,152,2
82,20,0,0.92,14,1371,153,2
82,21,0,0.77,14,1371,154,2
82,22,0,0.88,14,1371,155,2
82,24,0,0.81,14,1372,156,2
83,11,0,0.73,14,1379,157,2
84,27,0,0.79,15,1396,158,2
84,28,0,0.72,15,1396,159,2
84,29,0,0.7,15,1396,160,2
85,11,0,0.77,15,1398,161,2
87,30,0,0.82,16,1439,162,2
88,10,0,0.75,16,1439,163,2
89,11,0,0.79,17,1448,164,2
91,10,0,0.9,18,1469,165,2
93,14,0,0.86,19,1494,166,2
93,15,0,0.91,19,1494,167,2
93,20,0,0.7,19,1498,168,2
93,22,0,0.73,19,1499,169,2
93,23,0,0.93,19,1499,170,2
93,24,0,0.84,19,1499,171,2
93,26,0,0.79,19,1500,172,2
93,30,0,0.75,19,1503,173,2
94,14,0,0.73,19,1507,174,2
94,16,0,0.8,19,1508,175,2
94,17,0,0.7,19,1508,176,2
94,18,0,0.98,19,1508,177,2
94,20,0,0.79,19,1509,178,2
94,21,0,0.81,19,1509,179,2
94,22,0,0.78,19,1509,180,2
94,23,0,0.74,19,1509,181,2
94,27,0,0.74,19,1512,182,2
95,21,0,0.96,19,1526,183,2
95,22,0,0.91,19,1526,184,2
95,23,0,0.86,19,1526,185,2
95,24,0,1.21,19,1526,186,2
95,26,0,0.73,19,1527,187,2
95,27,0,0.9,19,1527,188,2
95,28,0,0.81,19,1527,189,2
95,30,0,1.04,19,1528,190,2
97,13,0,0.73,20,1542,191,2
97,19,0,0.88,20,1547,192,2
97,20,0,0.79,20,1547,193,2
99,19,0,0.74,21,1567,194,2
99,20,0,0.75,21,1567,195,2
99,21,0,0.71,21,1567,196,2
99,22,0,0.87,21,1567,197,2
99,23,0,0.83,21,1567,198,2
99,24,0,0.98,21,1567,199,2
100,16,0,0.7,22,1573,200,2
100,17,0,0.71,22,1573,201,2
100,18,0,0.74,22,1573,202,2
100,19,0,0.88,22,1573,203,2
100,20,0,0.9,22,1573,204,2
100,21,0,0.87,22,1573,205,2
100,22,0,0.96,22,1573,206,2
100,30,0,0.82,22,1580,207,2
101,10,0,0.74,22,1580,208,2
101,12,0,0.74,22,1581,209,2
103,10,0,0.81,24,1582,210,2
104,14,0,0.81,25,1586,211,2
104,21,0,0.74,25,1592,212,2
104,22,0,0.81,25,1592,213,2
104,24,0,0.74,25,1593,214,2
104,25,0,0.83,25,1593,215,2
104,26,0,0.83,25,1593,216,2
104,27,0,0.91,25,1593,217,2
104,28,0,0.9,25,1593,218,2
104,29,0,0.91,25,1593,219,2
105,17,0,0.72,26,1600,220,2
106,12,0,0.85,27,1602,221,2
106,25,0,0.8,27,1614,222,2
106,26,0,1.04,27,1614,223,2
106,27,0,0.92,27,1614,224,2
106,28,0,0.95,27,1614,225,2
106,29,0,0.79,27,1614,226,2
106,30,0,0.85,27,1614,227,2
107,17,0,0.89,27,1621,228,2
107,18,0,0.78,27,1621,229,2
107,23,0,0.76,27,1625,230,2
107,26,0,0.71,27,1627,231,2
107,28,0,0.74,27,1628,232,2
108,16,0,0.75,27,1636,233,2
108,17,0,0.82,27,1636,234,2
108,18,0,0.86,27,1636,235,2
108,19,0,0.79,27,1636,236,2
108,20,0,0.75,27,1636,237,2
108,21,0,0.84,27,1636,238,2
108,23,0,0.83,27,1637,239,2
108,24,0,0.9,27,1637,240,2
108,25,0,0.98,27,1637,241,2
108,26,0,0.81,27,1637,242,2
108,27,0,0.7,27,1637,243,2
108,29,0,0.94,27,1638,244,2
108,30,0,0.99,27,1638,245,2
109,11,0,0.89,27,1639,246,2
109,12,0,0.77,27,1639,247,2
109,13,0,0.78,27,1639,248,2
109,14,0,0.81,27,1639,249,2
109,15,0,1.02,27,1639,250,2
109,16,0,1.05,27,1639,251,2
109,17,0,0.99,27,1639,252,2
109,18,0,0.94,27,1639,253,2
109,19,0,1.05,27,1639,254,2
109,20,0,1.0,27,1639,255,2
109,21,0,0.99,27,1639,256,2
109,22,0,0.83,27,1639,257,2
109,23,0,0.86,27,1639,258,2
109,25,0,0.72,27,1640,259,2
109,26,0,0.79,27,1640,260,2
109,27,0,0.94,27,1640,261,2
109,28,0,0.87,27,1640,262,2
109,29,0,0.85,27,1640,263,2
109,30,0,0.8,27,1640,264,2
110,17,0,0.93,27,1647,265,2
110,18,0,0.97,27,1647,266,2
110,19,0,0.94,27,1647,267,2
111,12,0,0.77,27,1660,268,2
111,13,0,0.85,27,1660,269,2
111,16,0,0.79,27,1662,270,2
111,17,0,1.0,27,1662,271,2
111,18,0,0.77,27,1662,272,2
112,14,0,0.74,28,1668,273,2
112,15,0,0.81,28,1668,274,2
112,22,0,0.86,28,1674,275,2
112,23,0,0.84,28,1674,276,2
112,24,0,0.8,28,1674,277,2
112,25,0,0.73,28,1674,278,2
112,26,0,0.88,28,1674,279,2
112,27,0,0.92,28,1674,280,2
112,28,0,0.86,28,1674,281,2
112,29,0,0.9,28,1674,282,2
113,20,0,0.74,29,1684,283,2
113,27,0,0.73,29,1690,284,2
113,28,0,0.7,29,1690,285,2
113,29,0,0.83,29,1690,286,2
114,11,0,0.94,29,1692,287,2
114,12,0,0.98,29,1692,288,2
114,13,0,0.82,29,1692,289,2
114,14,0,0.84,29,1692,290,2
114,15,0,1.0,29,1692,291,2
114,16,0,0.89,29,1692,292,2
114,17,0,0.73,29,1692,293,2
115,12,0,0.71,30,1694,294,2
115,14,0,0.79,30,1695,295,2
115,15,0,0.92,30,1695,296,2
115,16,0,0.9,30,1695,297,2
115,17,0,0.79,30,1695,298,2
115,20,0,0.79,30,1697,299,2
115,21,0,1.03,30,1697,300,2
115,22,0,0.71,30,1697,301,2
115,23,0,0.77,30,1697,302,2
115,24,0,0.76,30,1697,303,2
115,25,0,0.8,30,1697,304,2
115,26,0,0.85,30,1697,305,2
115,27,0,0.77,30,1697,306,2
115,28,0,0.86,30,1697,307,2
115,29,0,0.93,30,1697,308,2
115,30,0,0.84,30,1697,309,2
116,10,0,0.85,30,1697,310,2
116,12,0,0.76,30,1698,311,2
116,13,0,0.74,30,1698,312,2
116,14,0,0.7,30,1698,313,2
116,15,0,0.78,30,1698,314,2
116,16,0,1.01,30,1698,315,2
116,17,0,0.84,30,1698,316,2
117,10,0,0.8,31,1699,317,2
118,13,0,0.81,32,1702,318,2
118,14,0,0.73,32,1702,319,2
118,15,0,0.77,32,1702,320,2
118,16,0,0.7,32,1702,321,2
118,18,0,0.75,32,1703,322,2
118,19,0,0.72,32,1703,323,2
119,12,0,0.99,33,1705,324,2
119,13,0,1.0,33,1705,325,2
119,14,0,1.01,33,1705,326,2
119,15,0,0.92,33,1705,327,2
119,16,0,0.7,33,1705,328,2
119,17,0,0.87,33,1705,329,2
119,18,0,0.92,33,1705,330,2
119,20,0,0.8,33,1706,331,2
119,21,0,0.95,33,1706,332,2
119,22,0,0.81,33,1706,333,2
119,23,0,1.08,33,1706,334,2
119,26,0,0.78,33,1708,335,2
119,27,0,0.83,33,1708,336,2
119,29,0,0.76,33,1709,337,2
119,30,0,0.84,33,1709,338,2
120,14,0,0.92,33,1713,339,2
120,15,0,0.94,33,1713,340,2
120,17,0,0.78,33,1714,341,2
120,18,0,0.76,33,1714,342,2
