Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
1,10,0,0.77,0,0,1,0
2,27,0,0.77,0,37,2,0
6,14,0,0.85,0,107,3,0
6,21,0,0.89,0,113,4,0
6,25,0,0.79,0,116,5,0
6,26,0,0.86,0,116,6,0
6,27,0,0.82,0,116,7,0
6,29,0,0.75,0,117,8,0
6,30,0,0.86,0,117,9,0
11,15,0,0.8,0,206,10,0
13,11,0,0.95,0,243,11,0
13,16,0,0.72,0,247,12,0
13,27,0,0.89,0,257,13,0
16,25,0,0.79,0,317,14,0
16,27,0,0.7,0,318,15,0
16,30,0,0.82,0,320,16,0
17,29,0,0.72,0,339,17,0
19,15,0,0.75,0,366,18,0
19,20,0,0.84,0,370,19,0
20,23,0,1.04,0,393,20,0
21,15,0,0.82,0,405,21,0
21,16,0,0.88,0,405,22,0
21,17,0,0.87,0,405,23,0
21,18,0,0.78,0,405,24,0
21,29,0,0.78,0,415,25,0
21,30,0,0.73,0,415,26,0
22,20,0,1.11,0,425,27,0
22,30,0,0.78,0,434,28,0
24,30,0,1.01,0,475,29,0
27,18,0,1.09,0,525,30,0
27,22,0,0.78,0,528,31,0
27,23,0,0.73,0,528,32,0
28,20,0,0.72,0,545,33,0
28,21,0,0.9,0,545,34,0
28,26,0,0.82,0,549,35,0
28,28,0,0.74,0,550,36,0
29,18,0,0.74,0,560,37,0
29,20,0,1.01,0,561,38,0
29,21,0,0.9,0,561,39,0
29,25,0,0.7,0,564,40,0
29,30,0,0.91,0,568,41,0
30,16,0,0.87,0,574,42,0
30,21,0,0.76,0,578,43,0
30,24,0,0.75,0,580,44,0
30,25,0,1.0,0,580,45,0
30,26,0,0.89,0,580,46,0
30,27,0,0.82,0,580,47,0
30,28,0,1.11,0,580,48,0
31,22,0,0.97,0,594,49,0
31,23,0,1.0,0,594,50,0
31,24,0,0.72,0,594,51,0
32,13,0,1.05,0,603,52,0
32,14,0,0.7,0,603,53,0
32,15,0,0.8,0,603,54,0
32,16,0,0.71,0,603,55,0
32,17,0,0.7,0,603,56,0
32,19,0,0.95,0,604,57,0
32,20,0,0.92,0,604,58,0
32,24,0,0.71,0,607,59,0
32,25,0,0.72,0,607,60,0
32,28,0,0.84,0,609,61,0
33,20,0,0.88,0,621,62,0
33,28,0,0.78,0,628,63,0
33,29,0,0.83,0,628,64,0
33,30,0,0.93,0,628,65,0
35,13,0,0.8,0,652,66,0
35,18,0,0.77,0,656,67,0
36,14,0,0.89,0,672,68,0
36,18,0,0.77,0,675,69,0
36,22,0,0.83,0,678,70,0
36,30,0,1.01,0,685,71,0
37,28,1,0.46,0,703,71,1
38,14,1,0.69,0,707,71,2
39,12,0,0.75,0,709,72,2
39,17,0,0.76,0,713,73,2
39,18,0,0.79,0,713,74,2
39,21,0,0.75,0,715,75,2
39,22,0,0.89,0,715,76,2
39,29,1,0.18,0,721,76,3
40,11,0,0.77,0,722,77,3
40,12,0,0.82,0,722,78,3
41,19,0,0.83,0,749,79,3
41,20,0,0.92,0,749,80,3
41,21,0,0.83,0,749,81,3
41,22,0,0.76,0,749,82,3
43,11,1,0.55,0,779,82,4
46,11,1,0.26,2,785,82,5
47,11,1,0.5,2,786,82,6
48,11,1,0.63,2,787,82,7
49,11,1,0.35,2,788,82,8
50,13,1,0.49,2,791,82,9
51,28,1,0.16,2,809,82,10
53,11,1,0.42,3,816,82,11
54,11,1,0.49,3,817,82,12
55,11,1,0.41,3,818,82,13
56,11,1,0.41,3,819,82,14
57,21,1,0.37,3,830,82,15
58,17,1,0.29,3,837,82,16
59,29,1,0.3,3,856,82,17
60,16,0,0.77,3,862,83,17
60,17,0,0.77,3,862,84,17
60,18,0,0.83,3,862,85,17
60,20,0,0.78,3,863,86,17
60,22,0,0.87,3,864,87,17
60,23,0,0.71,3,864,88,17
60,25,0,0.84,3,865,89,17
61,19,1,0.48,3,879,89,18
62,11,1,0.51,3,880,89,19
65,11,1,0.45,3,923,89,20
66,16,0,0.71,3,929,90,20
68,11,0,0.81,3,965,91,20
69,11,0,0.88,3,985,92,20
69,18,0,0.77,3,991,93,20
69,19,0,0.9,3,991,94,20
70,26,1,0.63,3,1018,94,21
71,11,1,0.31,3,1019,94,22
72,11,1,0.07,3,1020,94,23
73,17,1,0.64,3,1027,94,24
74,13,0,0.72,3,1030,95,24
74,16,1,0.42,3,1032,95,25
76,15,0,0.71,4,1050,96,25
76,20,0,0.85,4,1054,97,25
77,24,1,0.65,4,1078,97,26
78,11,1,0.42,4,1079,97,27
79,15,1,0.54,4,1084,97,28
80,10,0,0.91,4,1084,98,28
80,11,0,0.97,4,1084,99,28
80,13,0,0.99,4,1085,100,28
80,14,0,0.99,4,1085,101,28
80,15,0,0.92,4,1085,102,28
81,15,0,0.96,4,1105,103,28
81,18,0,1.05,4,1107,104,28
81,21,0,0.72,4,1109,105,28
82,10,0,0.81,4,1118,106,28
84,12,0,0.72,5,1144,107,28
84,14,0,0.79,5,1145,108,28
84,15,0,0.77,5,1145,109,28
84,16,0,0.85,5,1145,110,28
85,13,0,0.75,5,1162,111,28
86,16,1,0.21,5,1185,111,29
87,18,1,0.55,5,1193,111,30
89,11,1,0.55,6,1197,111,31
91,11,1,0.03,7,1200,111,32
92,11,1,0.67,7,1201,111,33
94,17,0,0.73,7,1229,112,33
96,12,0,0.74,8,1252,113,33
96,13,0,0.71,8,1252,114,33
96,15,0,0.74,8,1253,115,33
96,17,0,0.83,8,1254,116,33
101,12,0,0.8,10,1334,117,33
101,17,1,0.5,10,1338,117,34
102,11,1,0.31,10,1339,117,35
104,17,0,0.71,10,1367,118,35
104,24,1,0.53,10,1373,118,36
105,19,1,0.3,10,1382,118,37
106,16,0,0.75,10,1388,119,37
107,11,0,0.83,10,1403,120,37
107,13,0,0.8,10,1404,121,37
107,15,0,0.72,10,1405,122,37
107,17,0,0.75,10,1406,123,37
107,18,0,0.87,10,1406,124,37
107,19,0,0.94,10,1406,125,37
107,24,0,0.86,10,1410,126,37
108,11,0,0.85,10,1417,127,37
111,14,1,0.2,11,1465,127,38
112,20,0,0.71,11,1475,128,38
112,21,0,0.74,11,1475,129,38
113,11,0,0.86,11,1485,130,38
114,29,1,0.46,11,1523,130,39
116,10,0,0.7,11,1544,131,39
116,25,0,1.02,11,1558,132,39
119,12,0,0.74,11,1607,133,39
119,17,0,0.79,11,1611,134,39
119,18,0,0.84,11,1611,135,39
119,19,0,0.77,11,1611,136,39
120,11,1,0.66,11,1623,136,40
121,19,0,0.75,11,1632,137,40
122,17,0,0.85,11,1650,138,40
122,20,0,0.85,11,1652,139,40
123,15,1,0.68,11,1667,139,41
124,22,1,0.21,11,1679,139,42
125,28,0,0.74,11,1697,140,42
125,30,0,0.76,11,1698,141,42
126,16,1,0.63,11,1704,141,43
127,28,1,0.14,11,1722,141,44
128,14,0,0.7,11,1726,142,44
128,15,0,0.75,11,1726,143,44
128,16,0,0.76,11,1726,144,44
129,11,0,0.84,11,1741,145,44
130,18,1,0.59,11,1768,145,45
131,14,1,0.28,11,1772,145,46
132,12,0,0.72,11,1774,146,46
134,22,1,0.46,12,1806,146,47
135,13,0,0.8,12,1809,147,47
135,14,0,0.79,12,1809,148,47
136,16,0,0.78,12,1831,149,47
138,10,0,0.71,13,1849,150,47
138,12,0,0.72,13,1850,151,47
138,14,1,0.68,13,1851,151,48
141,23,1,0.65,14,1887,151,49
142,12,1,0.14,14,1889,151,50
145,30,1,0.26,15,1933,151,51
147,11,1,0.16,16,1936,151,52
148,11,1,0.38,16,1937,151,53
149,11,0,0.87,16,1938,152,53
149,17,0,0.79,16,1943,153,53
149,19,0,0.87,16,1944,154,53
149,22,0,0.84,16,1946,155,53
149,23,0,0.96,16,1946,156,53
149,24,0,0.84,16,1946,157,53
149,28,0,0.79,16,1949,158,53
149,29,0,0.74,16,1949,159,53
154,15,1,0.35,17,2024,159,54
157,17,0,0.88,18,2068,160,54
157,27,0,0.71,18,2077,161,54
158,17,0,0.77,18,2087,162,54
158,30,0,0.75,18,2099,163,54
159,18,0,0.77,18,2107,164,54
159,19,0,0.9,18,2107,165,54
160,10,0,1.06,18,2118,166,54
160,12,0,0.76,18,2119,167,54
160,13,0,0.9,18,2119,168,54
160,17,0,1.0,18,2122,169,54
161,16,0,0.82,18,2141,170,54
161,18,0,0.78,18,2142,171,54
161,23,0,0.71,18,2146,172,54
161,25,0,1.24,18,2147,173,54
164,26,0,0.8,18,2210,174,54
164,27,0,0.86,18,2210,175,54
164,28,1,0.52,18,2210,175,55
165,18,0,0.74,18,2218,176,55
165,21,0,0.82,18,2220,177,55
165,22,0,0.74,18,2220,178,55
165,29,1,0.35,18,2226,178,56
166,21,0,1.03,18,2237,179,56
166,26,0,0.8,18,2241,180,56
168,12,0,0.72,18,2268,181,56
168,18,0,0.76,18,2273,182,56
169,16,1,0.49,18,2291,182,57
170,14,0,0.78,18,2295,183,57
170,22,0,0.74,18,2302,184,57
171,11,0,0.9,18,2311,185,57
172,23,1,0.49,18,2343,185,58
173,12,1,0.66,18,2345,185,59
175,22,1,0.39,19,2359,185,60
176,11,0,0.76,19,2360,186,60
176,12,0,0.75,19,2360,187,60
176,13,0,0.72,19,2360,188,60
176,16,0,0.84,19,2362,189,60
176,20,0,1.07,19,2365,190,60
176,22,0,0.7,19,2366,191,60
177,24,1,0.45,19,2388,191,61
178,11,1,0.23,19,2389,191,62
180,19,1,0.5,19,2419,191,63
181,24,1,0.5,19,2433,191,64
182,11,1,0.43,19,2434,191,65
185,23,1,0.65,19,2489,191,66
186,12,1,0.09,19,2491,191,67
187,14,0,0.78,19,2495,192,67
188,13,0,0.75,19,2514,193,67
188,18,0,0.78,19,2518,194,67
189,13,0,0.79,19,2533,195,67
189,23,0,1.11,19,2542,196,67
190,13,0,0.74,19,2552,197,67
190,15,0,0.71,19,2553,198,67
190,18,1,0.4,19,2555,198,68
191,11,0,0.72,19,2556,199,68
191,12,0,0.74,19,2556,200,68
191,16,1,0.36,19,2559,200,69
192,25,0,0.75,19,2574,201,69
193,22,1,0.4,19,2591,201,70
194,26,1,0.51,19,2607,201,71
197,11,1,0.41,20,2640,201,72
199,17,0,0.72,20,2668,202,72
199,18,0,1.11,20,2668,203,72
199,21,0,0.76,20,2670,204,72
199,25,0,0.91,20,2673,205,72
202,16,0,0.72,21,2712,206,72
203,14,0,0.75,21,2730,207,72
204,20,1,0.3,21,2756,207,73
205,10,0,0.77,21,2756,208,73
205,11,0,0.74,21,2756,209,73
205,14,0,0.83,21,2758,210,73
205,18,0,0.76,21,2761,211,73
205,24,0,0.94,21,2766,212,73
205,25,0,1.14,21,2766,213,73
206,20,0,0.81,21,2781,214,73
206,23,0,0.89,21,2783,215,73
206,24,0,0.79,21,2783,216,73
206,26,0,1.04,21,2784,217,73
206,27,0,1.06,21,2784,218,73
206,28,0,0.91,21,2784,219,73
206,29,0,1.14,21,2784,220,73
206,30,0,1.01,21,2784,221,73
209,21,0,0.82,22,2817,222,73
209,22,0,0.85,22,2817,223,73
210,21,0,0.75,22,2836,224,73
214,27,0,0.72,24,2911,225,73
216,10,0,0.77,24,2935,226,73
216,11,0,0.81,24,2935,227,73
217,14,1,0.5,25,2940,227,74
219,29,1,0.48,26,2962,227,75
220,21,1,0.25,26,2973,227,76
222,18,0,1.04,26,3002,228,76
223,10,0,0.77,26,3014,229,76
225,12,1,0.57,27,3038,229,77
227,19,1,0.4,27,3068,229,78
228,25,1,0.65,27,3083,229,79
229,12,1,0.47,27,3085,229,80
232,12,0,0.74,27,3129,230,80
232,13,0,0.81,27,3129,231,80
232,14,0,0.74,27,3129,232,80
232,17,1,0.27,27,3131,232,81
233,16,0,0.8,27,3137,233,81
233,17,0,0.83,27,3137,234,81
235,26,0,0.84,28,3176,235,81
236,14,0,0.72,28,3184,236,81
236,22,1,0.6,28,3191,236,82
237,22,1,0.6,28,3203,236,83
238,10,0,0.72,28,3203,237,83
239,15,0,0.75,29,3223,238,83
239,16,0,0.7,29,3223,239,83
241,12,0,0.73,30,3241,240,83
244,18,1,0.42,31,3294,240,84
245,12,0,0.77,31,3296,241,84
247,13,0,0.72,32,3326,242,84
248,13,1,0.32,32,3346,242,85
253,15,1,0.33,32,3435,242,86
254,12,1,0.57,32,3437,242,87
255,13,0,0.73,32,3440,243,87
256,15,0,1.03,32,3462,244,87
257,10,0,0.87,32,3477,245,87
257,12,0,0.75,32,3478,246,87
257,13,1,0.45,32,3478,246,88
260,10,0,0.73,33,3506,247,88
260,14,0,0.7,33,3509,248,88
260,16,0,0.75,33,3510,249,88
260,17,0,0.77,33,3510,250,88
262,20,1,0.53,33,3554,250,89
263,17,0,0.92,33,3561,251,89
264,12,1,0.64,33,3576,251,90
265,23,0,0.9,33,3589,252,90
266,15,0,0.74,33,3601,253,90
267,23,1,0.61,33,3629,253,91
268,23,1,0.16,33,3642,253,92
269,15,1,0.4,33,3647,253,93
274,16,1,0.51,34,3724,253,94
275,20,1,0.29,34,3734,253,95
277,13,1,0.5,35,3742,253,96
279,11,0,0.78,36,3748,254,96
279,25,1,0.52,36,3761,254,97
281,23,1,0.16,37,3781,254,98
282,18,1,0.66,37,3789,254,99
283,14,1,0.42,37,3793,254,100
284,26,1,0.56,37,3809,254,101
285,23,1,0.43,37,3822,254,102
287,10,0,0.82,38,3825,255,102
287,17,1,-0.15,38,3831,255,103
288,19,1,0.52,38,3840,255,104
292,11,1,-0.1,39,3891,255,105
294,11,0,0.72,40,3898,256,105
294,12,0,0.81,40,3898,257,105
295,15,1,0.56,41,3905,257,106
296,17,1,0.45,41,3912,257,107
297,21,1,0.57,41,3923,257,108
298,16,0,0.81,41,3929,258,108
298,20,0,0.87,41,3932,259,108
299,10,0,0.71,41,3942,260,108
300,29,0,0.72,41,3981,261,108
303,18,1,0.52,43,4006,261,109
309,24,0,0.75,44,4108,262,109
