Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
38,25,0,0.74,0,830,1,0
41,15,1,-0.11,0,885,1,1
44,17,1,-0.34,0,937,1,2
57,18,1,-0.27,0,1210,1,3
66,26,0,0.73,0,1403,2,3
78,15,1,-0.09,0,1655,2,4
91,12,1,-0.4,0,1922,2,5
94,17,1,-0.36,0,1974,2,6
101,21,1,-0.06,0,2118,2,7
121,29,1,-0.14,0,2556,2,8
123,29,1,-0.66,0,2598,2,9
129,29,1,0.15,0,2728,2,10
152,13,1,-0.39,0,3216,2,11
170,18,1,0.34,0,3599,2,12
183,14,1,-0.08,0,3868,2,13
191,26,1,-0.45,0,4039,2,14
263,13,1,-0.32,0,5605,2,15
280,26,0,0.74,0,5974,3,15
284,11,0,0.84,0,6046,4,15
310,12,1,-0.27,0,6618,4,16
314,17,0,0.8,0,6692,5,16
320,13,1,-0.42,0,6819,5,17
328,26,0,0.71,0,6990,6,17
331,13,1,-0.16,0,7042,6,18
356,28,0,0.7,0,7589,7,18
382,14,1,0.05,0,8146,7,19
384,29,0,0.79,0,8188,8,19
385,12,1,-0.35,0,8192,8,20
394,9,0,0.76,0,8368,9,20
397,12,1,-0.27,0,8436,9,21
422,14,1,-0.25,0,8969,9,22
423,27,0,0.83,0,8987,10,22
423,28,0,0.82,0,8987,11,22
423,29,0,0.75,0,8987,12,22
423,30,0,0.71,0,8987,13,22
429,13,1,-0.28,0,9101,13,23
431,17,1,-0.34,0,9131,13,24
443,26,1,-0.24,0,9390,13,25
445,17,0,1.0,0,9420,14,25
475,27,1,-0.33,0,10089,14,26
