Episode,Timestep,AttemptNum,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
1,29,0,0,0.83,0,19,1,0
3,19,0,0,0.59,0,50,2,0
4,16,0,0,0.78,0,67,3,0
5,13,0,0,0.66,0,84,4,0
5,23,0,0,0.71,0,93,5,0
6,27,0,0,0.6,0,117,6,0
6,28,0,0,0.77,0,117,7,0
7,26,0,0,0.6,0,135,8,0
7,27,0,0,0.7,0,135,9,0
7,30,0,0,0.58,0,137,10,0
9,11,0,0,0.52,0,159,11,0
9,12,0,0,0.65,0,159,12,0
9,26,0,0,0.57,0,172,13,0
9,27,0,0,0.56,0,172,14,0
10,19,0,0,0.55,0,184,15,0
12,13,0,0,0.56,0,219,16,0
12,15,0,0,0.87,0,220,17,0
12,16,0,0,0.5,0,220,18,0
12,17,0,0,0.72,0,220,19,0
12,18,0,0,0.55,0,220,20,0
14,27,0,0,0.53,0,270,21,0
16,11,0,0,0.92,0,294,22,1
16,12,0,0,0.69,0,294,23,1
16,14,0,0,0.64,0,295,24,1
16,15,0,0,0.74,0,295,25,1
16,16,0,0,0.75,0,295,26,1
16,23,0,0,0.57,0,301,27,1
17,14,0,0,0.58,0,312,28,1
17,16,0,0,0.59,0,313,29,1
17,23,0,0,0.57,0,319,30,1
20,12,0,0,1.01,0,370,31,1
20,14,0,0,0.51,0,371,32,1
20,24,0,0,0.6,0,380,33,1
20,28,0,0,0.62,0,383,34,1
20,29,0,0,0.78,0,383,35,1
21,19,0,0,0.61,0,393,36,1
23,11,0,0,0.58,0,426,37,1
23,19,0,0,0.57,0,433,38,1
24,10,0,0,0.9,0,444,39,1
24,11,0,0,0.88,0,444,40,1
24,12,0,0,0.92,0,444,41,1
24,13,0,0,0.63,0,444,42,1
24,14,0,0,0.79,0,444,43,1
24,15,0,0,0.53,0,444,44,1
24,16,0,0,0.89,0,444,45,1
24,17,0,0,0.62,0,444,46,1
24,20,0,0,0.74,0,446,47,1
24,21,0,0,0.63,0,446,48,1
24,23,0,0,0.66,0,447,49,1
24,24,0,0,0.6,0,447,50,1
24,26,0,0,0.86,0,448,51,1
24,28,0,0,0.57,0,449,52,1
26,14,0,0,0.51,0,476,53,1
26,19,0,0,0.51,0,480,54,1
27,15,0,0,0.52,0,496,55,1
28,30,0,0,0.51,0,531,56,1
29,19,0,0,0.87,0,540,57,1
29,20,0,0,0.88,0,540,58,1
29,22,0,0,0.51,0,541,59,1
29,25,0,0,0.66,0,543,60,1
32,13,0,0,0.57,0,593,61,1
32,15,0,0,0.61,0,594,62,1
32,16,0,0,0.67,0,594,63,1
32,17,0,0,0.54,0,594,64,1
32,18,0,0,0.73,0,594,65,1
32,19,0,0,0.58,0,594,66,1
32,22,0,0,0.65,0,596,67,1
32,23,0,0,0.77,0,596,68,1
32,25,0,0,0.59,0,597,69,1
32,26,0,0,0.84,0,597,70,1
32,27,0,0,0.51,0,597,71,1
33,16,0,0,0.64,0,606,72,1
35,16,0,0,0.65,0,647,73,1
35,29,0,0,0.71,0,659,74,1
40,12,0,0,0.5,0,746,75,1
40,13,0,0,0.66,0,746,76,1
40,14,0,0,0.83,0,746,77,1
40,15,0,0,0.75,0,746,78,1
40,16,0,0,0.7,0,746,79,1
40,19,0,0,0.74,0,748,80,1
41,14,0,0,0.75,0,763,81,1
42,28,0,0,0.54,0,797,82,1
43,21,0,0,0.61,0,810,83,1
44,11,0,0,0.51,0,820,84,1
44,12,0,0,0.54,0,820,85,1
45,29,0,0,0.54,0,857,86,1
47,12,0,0,0.63,0,881,87,1
47,13,0,0,0.83,0,881,88,1
47,17,0,0,0.71,0,884,89,1
47,30,0,0,0.67,0,896,90,1
48,26,0,0,1.01,0,912,91,1
49,10,0,0,0.88,0,916,92,1
49,11,0,0,0.58,0,916,93,1
49,12,0,0,0.61,0,916,94,1
49,16,0,0,0.56,0,919,95,1
50,11,0,0,0.61,0,934,96,1
50,13,0,0,0.7,0,935,97,1
50,16,0,0,0.51,0,937,98,1
50,25,0,0,0.74,0,945,99,1
50,30,0,0,0.86,0,949,100,1
51,29,0,0,0.64,0,968,101,1
51,30,0,0,0.98,0,968,102,1
52,10,0,0,0.64,0,968,103,1
52,13,0,0,0.61,0,970,104,1
52,14,0,0,0.59,0,970,105,1
52,15,0,0,0.85,0,970,106,1
52,16,0,0,0.81,0,970,107,1
52,18,0,0,0.56,0,971,108,1
52,19,0,0,0.55,0,971,109,1
52,20,0,0,0.53,0,971,110,1
52,22,0,0,0.62,0,972,111,1
52,23,0,0,0.63,0,972,112,1
52,26,0,0,0.58,0,974,113,1
52,28,0,0,0.5,0,975,114,1
52,29,0,0,0.67,0,975,115,1
52,30,0,0,0.71,0,975,116,1
53,17,0,0,0.77,0,982,117,1
54,27,0,0,0.68,0,1012,118,1
56,11,0,0,0.54,0,1037,119,1
56,12,0,0,0.63,0,1037,120,1
56,13,0,0,0.88,0,1037,121,1
57,14,0,0,0.88,0,1058,122,1
57,15,0,0,0.8,0,1058,123,1
58,18,0,0,0.67,0,1081,124,1
60,20,0,0,0.63,0,1124,125,1
60,21,0,0,0.55,0,1124,126,1
60,22,0,0,0.84,0,1124,127,1
60,23,0,0,0.6,0,1124,128,1
61,13,0,0,0.85,1,1127,129,1
61,14,0,0,0.57,1,1127,130,1
62,14,0,0,0.53,1,1147,131,1
62,16,0,0,1.05,1,1148,132,1
62,17,0,0,0.68,1,1148,133,1
62,18,0,0,0.58,1,1148,134,1
62,19,0,0,0.6,1,1148,135,1
62,25,0,0,0.63,1,1153,136,1
62,26,0,0,0.56,1,1153,137,1
63,13,0,0,0.64,1,1160,138,1
63,14,0,0,0.72,1,1160,139,1
63,15,0,0,0.54,1,1160,140,1
63,16,0,0,0.52,1,1160,141,1
63,17,0,0,0.58,1,1160,142,1
63,18,0,0,0.87,1,1160,143,1
63,19,0,0,0.94,1,1160,144,1
63,20,0,0,0.56,1,1160,145,1
64,12,0,0,0.93,1,1172,146,1
64,13,0,0,0.88,1,1172,147,1
64,14,0,0,0.74,1,1172,148,1
64,26,0,0,0.59,1,1183,149,1
64,28,0,0,0.57,1,1184,150,1
65,17,0,0,0.78,1,1193,151,1
65,19,0,0,0.54,1,1194,152,1
65,22,0,0,0.56,1,1196,153,1
66,16,0,0,0.82,1,1210,154,1
66,18,0,0,0.6,1,1211,155,1
66,29,0,0,0.65,1,1221,156,1
69,24,0,0,1.01,1,1278,157,1
69,25,0,0,1.01,1,1278,158,1
69,30,0,0,0.51,1,1282,159,1
