Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
2,23,0,0.77,0,34,1,0
2,24,0,1.11,0,34,2,0
2,26,0,0.75,0,35,3,0
2,30,0,0.84,0,38,4,0
4,21,0,0.78,0,70,5,0
4,22,0,0.74,0,70,6,0
4,23,0,0.74,0,70,7,0
4,26,0,0.71,0,72,8,0
4,27,0,0.81,0,72,9,0
4,30,0,0.71,0,74,10,0
11,27,0,0.77,0,217,11,0
12,18,0,0.86,0,228,12,0
13,28,0,0.81,0,258,13,0
18,30,0,0.8,0,364,14,0
22,30,0,0.75,0,447,15,0
23,17,0,0.99,0,454,16,0
23,23,0,0.76,0,459,17,0
25,16,0,0.79,0,493,18,0
25,20,0,0.81,0,496,19,0
25,21,0,0.77,0,496,20,0
25,22,0,0.86,0,496,21,0
25,25,0,0.91,0,498,22,0
34,27,0,0.76,0,688,23,0
34,28,0,0.8,0,688,24,0
37,21,0,0.75,0,743,25,0
37,27,0,0.97,0,748,26,0
37,28,0,0.75,0,748,27,0
37,30,0,0.71,0,749,28,0
40,23,0,0.74,0,804,29,0
43,30,0,0.77,0,873,30,0
48,25,0,0.73,0,972,31,0
48,29,0,0.72,0,975,32,0
59,17,0,0.82,1,1192,33,0
59,19,0,0.77,1,1193,34,0
59,25,0,1.0,1,1198,35,0
60,14,0,0.76,2,1204,36,0
60,15,0,0.83,2,1204,37,0
60,16,0,0.77,2,1204,38,0
62,16,0,0.83,2,1245,39,0
62,18,0,0.97,2,1246,40,0
62,22,0,1.08,2,1249,41,0
62,23,0,0.87,2,1249,42,0
63,18,0,0.72,2,1264,43,0
64,19,0,0.72,2,1285,44,0
64,20,0,1.34,2,1285,45,0
64,21,0,0.72,2,1285,46,0
64,22,0,1.17,2,1285,47,0
64,28,0,0.74,2,1290,48,0
65,21,0,0.76,2,1303,49,0
67,24,0,0.81,2,1347,50,0
67,26,0,1.02,2,1348,51,0
67,29,0,0.76,2,1350,52,0
68,16,0,0.88,2,1357,53,0
68,22,0,0.74,2,1362,54,0
69,24,0,0.71,3,1382,55,0
69,27,0,0.98,3,1384,56,0
69,28,0,0.71,3,1384,57,0
69,29,0,0.71,3,1384,58,0
69,30,0,0.76,3,1384,59,0
70,18,0,0.78,3,1392,60,0
70,19,0,0.88,3,1392,61,0
70,22,0,0.78,3,1394,62,0
70,26,0,0.81,3,1397,63,0
70,27,0,0.75,3,1397,64,0
70,28,0,0.78,3,1397,65,0
70,29,0,0.89,3,1397,66,0
70,30,0,0.72,3,1397,67,0
72,22,0,0.79,3,1430,68,0
72,23,0,0.83,3,1430,69,0
72,24,0,0.91,3,1430,70,0
72,26,0,1.12,3,1431,71,0
77,27,0,0.72,4,1529,72,0
78,22,0,0.71,4,1544,73,0
78,26,0,0.8,4,1547,74,0
78,27,0,0.9,4,1547,75,0
80,20,0,0.96,5,1578,76,0
80,21,0,0.81,5,1578,77,0
80,22,0,0.93,5,1578,78,0
84,27,0,0.72,5,1666,79,0
84,28,0,0.93,5,1666,80,0
84,29,0,0.74,5,1666,81,0
84,30,0,0.73,5,1666,82,0
88,30,0,0.85,5,1749,83,0
89,23,0,0.76,5,1762,84,0
89,25,0,1.01,5,1763,85,0
102,18,0,0.82,5,2028,86,0
102,21,0,0.77,5,2030,87,0
105,18,0,0.7,5,2089,88,0
106,28,0,0.75,5,2119,89,0
107,14,0,0.76,5,2125,90,0
108,29,0,0.84,5,2160,91,0
110,22,0,0.98,5,2194,92,0
110,23,0,0.82,5,2194,93,0
112,18,0,1.02,6,2223,94,0
112,19,0,0.72,6,2223,95,0
112,20,0,0.79,6,2223,96,0
112,26,0,0.79,6,2228,97,0
113,17,0,0.76,6,2239,98,0
113,24,0,0.75,6,2245,99,0
113,28,0,0.82,6,2248,100,0
113,30,0,0.92,6,2249,101,0
116,19,0,0.86,6,2300,102,0
116,23,0,0.79,6,2303,103,0
116,26,0,0.79,6,2305,104,0
116,27,0,0.78,6,2305,105,0
116,28,0,0.78,6,2305,106,0
117,11,0,0.79,6,2308,107,0
118,16,0,0.74,6,2333,108,0
120,27,0,0.85,7,2379,109,0
120,28,0,0.83,7,2379,110,0
120,30,0,0.77,7,2380,111,0
124,27,0,0.83,7,2460,112,0
125,19,0,0.86,7,2472,113,0
125,24,0,0.72,7,2476,114,0
127,23,0,0.78,8,2510,115,0
127,24,0,0.75,8,2510,116,0
127,27,0,0.84,8,2512,117,0
127,28,0,1.09,8,2512,118,0
130,21,0,1.27,8,2567,119,0
130,23,0,0.93,8,2568,120,0
130,26,0,0.72,8,2570,121,0
132,17,0,0.73,9,2599,122,0
136,24,0,0.71,9,2689,123,0
137,18,0,0.71,9,2703,124,0
137,22,0,0.85,9,2706,125,0
137,23,0,0.74,9,2706,126,0
138,24,0,0.84,9,2727,127,0
138,26,0,0.78,9,2728,128,0
138,27,0,1.01,9,2728,129,0
138,29,0,0.94,9,2729,130,0
138,30,0,0.85,9,2729,131,0
141,20,0,0.97,9,2781,132,0
142,30,1,0.49,9,2811,132,1
143,17,0,0.73,9,2818,133,1
143,18,0,0.8,9,2818,134,1
144,20,0,0.77,10,2828,135,1
144,21,0,0.84,10,2828,136,1
144,22,0,0.81,10,2828,137,1
145,30,0,0.74,10,2856,138,1
146,28,0,0.88,10,2874,139,1
146,29,0,0.74,10,2874,140,1
148,13,0,0.73,10,2899,141,1
148,20,0,0.72,10,2905,142,1
150,29,0,0.75,11,2951,143,1
150,30,0,0.71,11,2951,144,1
155,26,0,0.79,11,3051,145,1
156,14,0,0.92,11,3059,146,1
156,15,0,0.74,11,3059,147,1
156,28,0,0.73,11,3071,148,1
159,26,0,0.86,12,3130,149,1
159,27,0,0.99,12,3130,150,1
161,21,0,0.77,12,3165,151,1
161,24,0,0.95,12,3167,152,1
161,29,0,0.94,12,3171,153,1
163,18,0,0.78,12,3201,154,1
163,20,0,0.88,12,3202,155,1
163,21,0,0.85,12,3202,156,1
163,30,1,0.19,12,3210,156,2
165,23,0,0.85,12,3244,157,2
165,25,0,0.78,12,3245,158,2
165,28,0,0.76,12,3247,159,2
165,30,0,1.01,12,3248,160,2
166,20,1,0.17,12,3258,160,3
167,19,0,0.77,12,3267,161,3
167,20,0,0.74,12,3267,162,3
167,28,1,0.05,12,3274,162,4
168,25,0,0.75,12,3289,163,4
169,28,0,0.74,13,3307,164,4
170,20,1,0.69,13,3319,164,5
171,22,0,0.71,13,3331,165,5
171,25,0,0.91,13,3333,166,5
171,26,0,0.92,13,3333,167,5
172,22,0,0.8,13,3349,168,5
172,24,0,0.76,13,3350,169,5
172,25,0,0.73,13,3350,170,5
172,28,0,0.95,13,3352,171,5
172,29,0,0.74,13,3352,172,5
174,22,1,0.67,14,3384,172,6
175,13,0,0.8,14,3387,173,6
178,26,0,0.73,14,3462,174,6
178,27,0,0.71,14,3462,175,6
178,30,0,0.84,14,3464,176,6
179,30,1,0.12,14,3484,176,7
180,16,0,0.74,14,3490,177,7
180,17,0,0.79,14,3490,178,7
180,19,0,0.79,14,3491,179,7
180,20,0,0.74,14,3491,180,7
182,19,0,0.88,14,3531,181,7
182,20,0,1.11,14,3531,182,7
182,21,0,0.75,14,3531,183,7
183,22,0,0.91,14,3552,184,7
183,26,0,0.74,14,3555,185,7
184,13,0,0.72,14,3562,186,7
184,14,0,0.88,14,3562,187,7
185,29,0,0.74,15,3587,188,7
188,29,0,0.85,16,3648,189,7
188,30,0,0.86,16,3648,190,7
189,21,0,0.73,16,3659,191,7
189,23,0,0.81,16,3660,192,7
190,29,0,0.8,16,3686,193,7
190,30,0,0.76,16,3686,194,7
191,18,0,0.86,16,3694,195,7
191,19,0,0.85,16,3694,196,7
192,24,1,0.6,16,3719,196,8
194,24,0,0.92,16,3754,197,8
194,29,0,0.71,16,3758,198,8
194,30,0,0.97,16,3758,199,8
195,28,1,0.13,16,3776,199,9
196,25,0,0.72,16,3791,200,9
198,25,0,0.89,17,3831,201,9
198,26,0,0.77,17,3831,202,9
200,20,0,0.75,18,3863,203,9
200,22,0,0.73,18,3864,204,9
200,23,0,0.72,18,3864,205,9
200,25,0,0.97,18,3865,206,9
202,21,0,0.7,18,3902,207,9
202,27,0,1.02,18,3907,208,9
203,25,0,0.93,18,3925,209,9
206,15,0,0.74,19,3969,210,9
206,21,0,0.88,19,3974,211,9
206,22,0,0.98,19,3974,212,9
206,24,0,1.16,19,3975,213,9
206,25,0,1.01,19,3975,214,9
206,26,0,1.02,19,3975,215,9
206,29,0,0.84,19,3977,216,9
208,29,0,0.76,19,4018,217,9
211,13,0,0.75,19,4064,218,9
211,15,0,0.71,19,4065,219,9
211,16,0,0.81,19,4065,220,9
212,14,0,0.78,19,4083,221,9
214,26,0,0.81,19,4136,222,9
216,25,0,0.76,19,4176,223,9
217,19,0,0.72,19,4190,224,9
219,14,0,0.8,19,4226,225,9
222,28,0,0.87,20,4300,226,9
225,13,0,0.72,20,4347,227,9
225,15,0,0.72,20,4348,228,9
225,17,0,0.74,20,4349,229,9
225,22,0,0.84,20,4353,230,9
226,12,0,0.73,21,4362,231,9
227,21,0,0.91,22,4382,232,9
227,22,0,0.75,22,4382,233,9
228,10,0,0.73,23,4384,234,9
228,12,0,0.76,23,4385,235,9
228,13,0,0.86,23,4385,236,9
228,17,0,0.83,23,4388,237,9
229,15,0,0.79,24,4398,238,9
229,19,0,0.85,24,4401,239,9
229,20,0,0.79,24,4401,240,9
229,21,0,0.72,24,4401,241,9
230,29,0,0.72,24,4429,242,9
232,23,0,0.97,25,4455,243,9
232,24,0,0.76,25,4455,244,9
232,29,0,0.89,25,4459,245,9
232,30,0,0.87,25,4459,246,9
234,15,0,0.96,25,4485,247,9
234,24,0,0.73,25,4493,248,9
234,27,0,0.73,25,4495,249,9
235,20,0,0.74,25,4508,250,9
235,21,0,0.81,25,4508,251,9
235,22,0,0.76,25,4508,252,9
235,23,0,0.86,25,4508,253,9
235,24,0,0.74,25,4508,254,9
235,28,0,0.82,25,4511,255,9
236,16,0,0.84,25,4519,256,9
236,29,0,0.74,25,4531,257,9
237,20,0,0.74,25,4542,258,9
238,30,0,0.74,25,4572,259,9
239,14,0,0.93,25,4576,260,9
240,15,0,0.71,25,4597,261,9
240,16,0,0.76,25,4597,262,9
240,23,0,0.76,25,4603,263,9
240,28,0,0.81,25,4607,264,9
240,29,0,0.75,25,4607,265,9
241,26,0,0.8,25,4624,266,9
242,26,0,0.74,25,4644,267,9
242,28,0,0.87,25,4645,268,9
