Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
1,16,0,0.78,0,6,1,0
1,17,0,0.85,0,6,2,0
1,18,0,0.88,0,6,3,0
1,21,0,0.92,0,8,4,0
1,22,0,0.77,0,8,5,0
1,23,0,0.88,0,8,6,0
1,25,0,0.82,0,9,7,0
2,19,0,0.81,1,21,8,0
2,20,0,0.86,1,21,9,0
2,28,0,0.78,1,28,10,0
3,28,0,0.75,1,48,11,0
3,30,0,0.7,1,49,12,0
4,23,1,0.65,1,62,12,1
5,17,0,0.81,1,69,13,1
5,20,0,0.87,1,71,14,1
5,21,0,0.72,1,71,15,1
5,22,0,0.85,1,71,16,1
6,10,0,0.86,2,71,17,1
6,11,0,1.0,2,71,18,1
6,12,0,1.03,2,71,19,1
6,13,0,0.75,2,71,20,1
6,19,0,0.92,2,76,21,1
8,21,0,0.87,3,109,22,1
8,22,0,0.79,3,109,23,1
8,23,0,0.81,3,109,24,1
8,25,0,0.85,3,110,25,1
8,28,0,0.72,3,112,26,1
9,12,0,0.86,3,116,27,1
9,13,0,0.99,3,116,28,1
9,25,0,0.81,3,127,29,1
10,24,0,0.93,3,146,30,1
10,25,0,0.94,3,146,31,1
10,26,0,0.89,3,146,32,1
10,28,0,0.73,3,147,33,1
11,23,0,0.96,3,162,34,1
11,26,0,0.75,3,164,35,1
11,30,0,0.98,3,167,36,1
12,28,1,0.65,3,185,36,2
13,10,0,0.79,3,185,37,2
13,11,0,0.77,3,185,38,2
13,12,0,0.71,3,185,39,2
13,15,0,0.97,3,187,40,2
13,16,0,0.8,3,187,41,2
13,17,0,0.73,3,187,42,2
15,12,0,0.77,4,211,43,2
15,13,0,0.77,4,211,44,2
15,14,0,0.84,4,211,45,2
15,15,0,0.88,4,211,46,2
15,16,0,0.97,4,211,47,2
15,17,0,0.83,4,211,48,2
15,22,0,0.8,4,215,49,2
15,25,1,0.55,4,217,49,3
16,11,0,0.89,4,218,50,3
16,19,0,0.81,4,225,51,3
16,27,0,0.94,4,232,52,3
16,28,0,0.84,4,232,53,3
17,21,1,0.69,4,245,53,4
18,13,0,0.74,4,248,54,4
18,26,0,0.91,4,260,55,4
19,10,0,0.74,5,260,56,4
19,13,0,0.9,5,262,57,4
20,10,0,0.72,6,264,58,4
20,13,0,0.72,6,266,59,4
20,15,0,0.96,6,267,60,4
20,16,0,0.78,6,267,61,4
20,17,0,0.74,6,267,62,4
20,19,0,0.79,6,268,63,4
21,15,0,0.76,7,273,64,4
21,16,0,0.71,7,273,65,4
21,17,0,0.71,7,273,66,4
21,18,0,0.95,7,273,67,4
21,19,0,0.76,7,273,68,4
22,11,0,0.76,8,275,69,4
23,10,0,0.9,9,279,70,4
23,11,0,0.86,9,279,71,4
23,13,0,1.11,9,280,72,4
24,10,0,0.93,10,280,73,4
24,11,0,0.81,10,280,74,4
24,12,0,0.7,10,280,75,4
24,13,0,0.82,10,280,76,4
24,14,0,0.82,10,280,77,4
24,15,0,1.0,10,280,78,4
24,16,0,1.14,10,280,79,4
25,10,0,0.93,11,280,80,4
25,11,0,0.88,11,280,81,4
25,13,0,0.89,11,281,82,4
25,14,0,0.88,11,281,83,4
25,16,0,0.77,11,282,84,4
26,10,0,0.72,12,286,85,4
26,11,0,0.83,12,286,86,4
26,12,0,1.05,12,286,87,4
26,13,0,0.99,12,286,88,4
26,14,0,0.86,12,286,89,4
27,19,0,0.79,13,295,90,4
27,20,0,0.97,13,295,91,4
27,21,0,0.98,13,295,92,4
27,23,0,0.83,13,296,93,4
28,15,0,0.73,13,308,94,4
28,30,0,0.79,13,322,95,4
29,15,0,0.74,13,327,96,4
29,23,0,0.78,13,334,97,4
29,24,0,0.99,13,334,98,4
29,25,0,0.95,13,334,99,4
29,26,0,1.02,13,334,100,4
29,27,0,1.02,13,334,101,4
29,28,0,0.74,13,334,102,4
30,15,0,0.74,13,341,103,4
30,22,0,0.72,13,347,104,4
31,10,0,0.89,13,355,105,4
32,14,0,0.81,13,379,106,4
35,10,0,0.75,13,437,107,4
35,16,0,0.71,13,442,108,4
35,17,0,0.87,13,442,109,4
35,18,0,0.91,13,442,110,4
35,20,0,0.84,13,443,111,4
36,25,0,0.79,14,462,112,4
36,28,0,0.82,14,464,113,4
37,17,0,0.75,14,473,114,4
37,21,0,1.11,14,476,115,4
37,22,0,0.9,14,476,116,4
37,23,0,1.07,14,476,117,4
37,25,0,0.91,14,477,118,4
37,26,0,0.72,14,477,119,4
37,29,0,0.91,14,479,120,4
37,30,0,0.87,14,479,121,4
39,18,0,0.74,14,508,122,4
39,19,0,0.78,14,508,123,4
39,20,0,0.74,14,508,124,4
39,21,0,0.73,14,508,125,4
40,11,0,0.77,15,509,126,4
40,14,0,1.0,15,511,127,4
40,15,0,0.85,15,511,128,4
41,13,0,0.82,16,519,129,4
41,14,0,0.99,16,519,130,4
43,18,0,0.8,18,534,131,4
45,27,1,0.63,20,557,131,5
46,13,0,0.77,20,560,132,5
47,10,0,0.75,21,566,133,5
47,11,0,0.94,21,566,134,5
48,19,0,0.76,22,581,135,5
48,20,0,0.81,22,581,136,5
48,21,0,0.77,22,581,137,5
48,28,0,0.72,22,587,138,5
49,21,0,0.74,22,600,139,5
49,23,0,0.83,22,601,140,5
49,25,0,0.72,22,602,141,5
49,26,0,0.7,22,602,142,5
49,27,0,0.94,22,602,143,5
49,28,0,0.92,22,602,144,5
49,29,0,0.95,22,602,145,5
50,22,0,0.81,22,615,146,5
52,14,0,0.72,23,635,147,5
52,16,0,0.72,23,636,148,5
52,17,0,0.79,23,636,149,5
52,18,0,0.73,23,636,150,5
52,19,0,0.74,23,636,151,5
53,10,0,1.07,24,638,152,5
54,17,0,0.81,25,645,153,5
54,18,0,0.7,25,645,154,5
54,19,0,0.92,25,645,155,5
54,21,0,1.11,25,646,156,5
54,22,0,0.84,25,646,157,5
54,25,0,0.82,25,648,158,5
