Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
1,23,0,0.97,0,13,1,0
1,29,0,0.71,0,18,2,0
2,18,0,0.74,0,27,3,0
2,19,0,0.79,0,27,4,0
2,29,0,0.84,0,36,5,0
2,30,0,0.79,0,36,6,0
3,13,0,0.78,0,39,7,0
4,23,0,0.76,0,69,8,0
6,24,0,0.79,1,104,9,0
6,26,0,0.83,1,105,10,0
6,27,0,0.85,1,105,11,0
6,28,0,0.8,1,105,12,0
6,30,0,0.75,1,106,13,0
7,16,0,0.73,1,112,14,0
7,17,0,0.9,1,112,15,0
7,20,0,1.07,1,114,16,0
7,21,0,0.82,1,114,17,0
7,22,0,0.79,1,114,18,0
10,29,0,0.77,1,183,19,0
11,20,0,0.92,1,194,20,0
11,22,0,0.75,1,195,21,0
11,23,1,0.58,1,195,21,1
12,22,1,0.39,1,207,21,2
13,15,0,0.78,1,212,22,2
13,16,0,0.85,1,212,23,2
13,17,0,0.85,1,212,24,2
14,23,1,0.52,2,225,24,3
15,10,0,0.75,2,225,25,3
15,13,0,0.71,2,227,26,3
15,15,0,0.73,2,228,27,3
15,16,0,0.78,2,228,28,3
15,17,0,0.91,2,228,29,3
15,18,0,0.74,2,228,30,3
15,19,0,1.06,2,228,31,3
15,20,0,0.79,2,228,32,3
16,17,0,0.88,3,235,33,3
16,22,0,0.83,3,239,34,3
16,23,0,0.81,3,239,35,3
16,24,0,0.77,3,239,36,3
16,25,0,1.11,3,239,37,3
16,26,0,1.1,3,239,38,3
17,10,0,0.91,4,239,39,3
17,11,0,0.82,4,239,40,3
18,15,0,0.75,5,244,41,3
18,23,0,0.7,5,251,42,3
19,11,0,0.93,6,255,43,3
19,12,0,0.92,6,255,44,3
19,17,0,0.76,6,259,45,3
20,20,0,0.76,7,273,46,3
20,23,0,0.78,7,275,47,3
21,13,0,0.78,8,278,48,3
23,10,0,0.76,10,284,49,3
23,11,0,0.77,10,284,50,3
24,19,0,0.87,11,300,51,3
25,13,1,0.68,12,304,51,4
26,12,0,0.78,12,306,52,4
26,14,0,1.02,12,307,53,4
27,13,0,0.79,13,310,54,4
27,14,0,0.78,13,310,55,4
27,15,0,0.84,13,310,56,4
27,16,0,0.87,13,310,57,4
27,17,0,0.75,13,310,58,4
27,20,0,0.82,13,312,59,4
27,23,1,0.41,13,314,59,5
29,15,0,0.87,13,340,60,5
30,17,0,0.71,14,348,61,5
31,13,0,0.97,15,351,62,5
31,14,0,0.83,15,351,63,5
33,14,0,0.83,17,364,64,5
33,15,0,0.72,17,364,65,5
34,10,0,0.78,18,370,66,5
35,11,0,0.7,19,374,67,5
35,12,0,0.81,19,374,68,5
36,28,1,0.47,20,396,68,6
37,10,0,0.73,20,396,69,6
37,11,0,0.82,20,396,70,6
37,12,0,0.85,20,396,71,6
37,13,0,0.77,20,396,72,6
37,15,1,0.66,20,397,72,7
38,11,0,0.85,20,398,73,7
38,12,0,0.73,20,398,74,7
38,13,0,0.75,20,398,75,7
39,10,0,0.77,21,398,76,7
39,13,0,0.78,21,400,77,7
39,17,0,0.77,21,403,78,7
40,12,0,0.92,22,405,79,7
40,14,0,0.82,22,406,80,7
43,10,0,0.75,25,422,81,7
43,11,0,0.82,25,422,82,7
43,12,0,0.92,25,422,83,7
43,13,0,0.88,25,422,84,7
43,14,0,0.95,25,422,85,7
44,11,0,0.88,26,424,86,7
45,10,0,1.0,27,424,87,7
47,17,0,0.75,29,436,88,7
47,18,0,0.74,29,436,89,7
47,19,0,0.81,29,436,90,7
47,21,1,0.69,29,437,90,8
48,20,1,0.48,29,447,90,9
49,12,0,0.8,29,449,91,9
49,13,0,0.72,29,449,92,9
49,17,0,0.81,29,452,93,9
50,21,0,0.76,30,463,94,9
50,22,0,0.88,30,463,95,9
50,23,0,0.86,30,463,96,9
50,24,0,0.85,30,463,97,9
52,10,0,0.81,32,480,98,9
52,11,0,0.86,32,480,99,9
53,29,0,0.83,33,500,100,9
57,16,1,0.45,35,557,100,10
58,19,0,0.79,35,566,101,10
59,13,0,0.85,36,569,102,10
59,14,0,0.89,36,569,103,10
59,18,0,0.71,36,572,104,10
59,20,0,0.91,36,573,105,10
59,21,0,0.9,36,573,106,10
59,22,0,0.82,36,573,107,10
59,25,1,0.55,36,575,107,11
61,21,0,0.71,37,586,108,11
61,22,0,0.73,37,586,109,11
61,23,0,0.96,37,586,110,11
61,25,0,0.89,37,587,111,11
61,26,0,0.86,37,587,112,11
63,18,0,1.01,38,616,113,11
63,19,0,1.1,38,616,114,11
63,20,0,1.11,38,616,115,11
63,21,0,0.94,38,616,116,11
64,10,0,0.79,39,616,117,11
65,13,0,0.98,40,628,118,11
65,14,0,0.92,40,628,119,11
66,21,0,0.74,41,639,120,11
66,22,0,0.78,41,639,121,11
66,23,0,0.78,41,639,122,11
66,24,0,0.76,41,639,123,11
67,16,0,0.88,42,648,124,11
67,17,0,0.78,42,648,125,11
67,18,0,0.83,42,648,126,11
67,19,0,0.92,42,648,127,11
67,20,0,0.86,42,648,128,11
67,21,0,0.92,42,648,129,11
68,25,1,0.6,43,663,129,12
71,14,0,0.8,45,687,130,12
71,15,0,0.78,45,687,131,12
71,17,0,0.72,45,688,132,12
71,25,0,0.93,45,695,133,12
71,26,0,1.06,45,695,134,12
73,19,0,0.71,47,704,135,12
73,20,0,0.92,47,704,136,12
73,21,0,0.81,47,704,137,12
74,24,1,0.51,48,718,137,13
75,10,0,0.84,48,718,138,13
75,11,0,0.77,48,718,139,13
76,27,0,0.8,49,735,140,13
78,16,0,0.87,51,754,141,13
79,10,0,0.86,52,762,142,13
81,22,0,0.85,53,796,143,13
81,23,0,1.05,53,796,144,13
81,24,0,1.09,53,796,145,13
82,14,0,0.72,54,800,146,13
82,15,0,0.72,54,800,147,13
82,18,0,0.92,54,802,148,13
82,19,0,0.87,54,802,149,13
82,20,0,0.98,54,802,150,13
82,21,0,1.03,54,802,151,13
