Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
1,25,0,0.91,0,15,1,0
3,28,0,0.75,0,59,2,0
4,27,0,0.75,0,78,3,0
4,29,0,0.73,0,79,4,0
5,16,0,0.7,0,86,5,0
8,18,0,0.8,0,150,6,0
8,29,0,0.8,0,160,7,0
9,17,0,0.88,0,168,8,0
9,29,0,0.85,0,179,9,0
9,30,0,1.08,0,179,10,0
10,29,0,0.9,0,198,11,0
10,30,0,0.76,0,198,12,0
12,20,0,0.75,0,229,13,0
12,22,0,1.14,0,230,14,0
12,23,0,0.76,0,230,15,0
13,19,0,0.8,0,246,16,0
13,20,0,1.11,0,246,17,0
16,18,0,0.71,0,306,18,0
16,27,0,0.77,0,314,19,0
17,16,0,0.72,0,323,20,0
17,26,0,0.8,0,332,21,0
17,30,0,0.71,0,335,22,0
19,21,0,0.72,0,367,23,0
19,22,0,0.9,0,367,24,0
19,23,0,0.75,0,367,25,0
19,24,0,0.78,0,367,26,0
19,26,0,1.09,0,368,27,0
19,27,0,0.9,0,368,28,0
20,29,0,0.81,0,390,29,0
25,23,0,0.74,0,488,30,0
25,24,0,0.88,0,488,31,0
25,29,0,0.87,0,492,32,0
27,20,0,1.13,0,524,33,0
27,21,0,0.8,0,524,34,0
27,22,0,0.85,0,524,35,0
27,23,0,0.9,0,524,36,0
27,24,0,0.81,0,524,37,0
29,10,0,0.75,0,551,38,0
29,12,0,0.85,0,552,39,0
29,14,0,0.84,0,553,40,0
29,15,0,1.1,0,553,41,0
29,16,0,0.92,0,553,42,0
29,17,0,0.98,0,553,43,0
29,18,0,1.11,0,553,44,0
29,19,0,1.07,0,553,45,0
29,20,0,1.06,0,553,46,0
29,21,0,1.04,0,553,47,0
29,22,0,1.02,0,553,48,0
29,23,0,0.9,0,553,49,0
29,24,0,1.03,0,553,50,0
29,25,0,0.97,0,553,51,0
29,26,0,0.78,0,553,52,0
29,27,0,0.83,0,553,53,0
29,28,0,0.81,0,553,54,0
29,29,0,0.76,0,553,55,0
30,12,0,0.73,0,556,56,0
30,14,0,0.72,0,557,57,0
30,15,0,0.72,0,557,58,0
30,16,0,0.76,0,557,59,0
30,17,0,0.74,0,557,60,0
30,28,0,0.78,0,567,61,0
30,29,0,0.92,0,567,62,0
30,30,0,1.21,0,567,63,0
31,18,0,0.73,0,575,64,0
31,19,0,0.78,0,575,65,0
31,20,0,0.93,0,575,66,0
31,21,0,0.7,0,575,67,0
31,23,0,0.93,0,576,68,0
31,24,0,0.97,0,576,69,0
31,25,0,0.74,0,576,70,0
31,26,0,0.84,0,576,71,0
33,12,0,0.7,0,603,72,0
